Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, pizzeria, bank, gelateria, music_store, party_store : 36308
Saved path: burger_joint, hardware_store, gym, pizzeria, bank, florist, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house : 34008
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, clothing_store, tech_shop, bookstore : 42989
Saved path: party_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, barber_shop : 33789
Saved path: toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, pizzeria, craft_shop, bank, florist, pharmacy, party_store, bakery, pet_store, hardware_store : 39805
Saved path: burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store : 42624
Saved path: clothing_store, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store : 44335
Saved path: music_store, pharmacy, bike_shop, pet_store, bakery, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bank, florist : 47957
Saved path: tech_shop, toy_store, gym, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, florist, dentist, bookstore, burger_joint : 51460
Saved path: dentist, pizzeria, gym, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, cafe : 32747
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store : 41707
Saved path: salon, pet_store, bakery, party_store, pharmacy, craft_shop, pizzeria, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, jewelry_store : 42867
Saved path: cafe, grocery_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, bank, craft_shop, pizzeria, burger_joint : 45624
Saved path: bakery, salon, party_store, pharmacy, music_store, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, pet_store : 45264
Saved path: craft_shop, dentist, grocery_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, florist, bank : 37310
Saved path: hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym : 44007
Saved path: hardware_store, gym, craft_shop, bank, florist, music_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe : 36699
Saved path: party_store, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 45004
Saved path: bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, pizzeria, florist, gelateria, pharmacy, bakery, pet_store : 45457
Saved path: salon, pharmacy, music_store, craft_shop, dentist, bookstore, burger_joint, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 52405
Saved path: toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, bank, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store : 41966
Saved path: bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, burger_joint, dentist : 50311
Saved path: party_store, pharmacy, gelateria, florist, bank, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 42479
Saved path: pet_store, bike_shop, salon, party_store, gelateria, music_store, florist, bank, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, bakery : 46065
Saved path: burger_joint, hardware_store, gym, craft_shop, bank, gelateria, party_store, salon, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 36011
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, gym, craft_shop, florist, music_store, bike_shop, pet_store, bakery, barber_shop : 48925
