Saved path: craft_shop, bank, gelateria, music_store, party_store, barber_shop, bakery, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist : 42278
Saved path: pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank : 35761
Saved path: jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, bank, florist, party_store, salon, bakery : 32899
Saved path: bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, jewelry_store, pet_store, bakery, salon, party_store, music_store, gelateria, bank, pizzeria : 47871
Saved path: pet_store, bike_shop, salon, pharmacy, hardware_store, gym, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery : 45326
Saved path: barber_shop, jewelry_store, pharmacy, music_store, florist, bank, craft_shop, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery : 46437
Saved path: bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, pharmacy, party_store, pet_store : 45446
Saved path: cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, salon, party_store, gelateria, bank, craft_shop, pizzeria, bookstore : 29334
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, gym, pizzeria, craft_shop, bank, florist, pharmacy, party_store, salon, bike_shop : 32956
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, bakery, gym, bookstore : 39706
Saved path: craft_shop, florist, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym : 45922
Saved path: bookstore, pizzeria, craft_shop, florist, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store : 47367
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, gelateria, bank, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store : 46196
