Saved path: music_store, pharmacy, jewelry_store, party_store, gym, bookstore, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, pizzeria, florist, bank : 67730
Saved path: gym, hardware_store, bakery, bike_shop, barber_shop, salon, toy_store, grocery_store, cafe, tech_shop, pizzeria, pet_store, bank, gelateria, florist : 61850
Saved path: gelateria, florist, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, bakery, barber_shop, pharmacy, bank : 59988
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop : 69279
Saved path: burger_joint, cafe, grocery_store, clothing_store, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist : 59068
Saved path: pizzeria, music_store, bank, pharmacy, bakery, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, dentist : 57646
Saved path: pet_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist : 57069
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist : 50220
Saved path: florist, gelateria, bank, music_store, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, pet_store : 69443
Saved path: grocery_store, bookstore, burger_joint, dentist, pizzeria, florist, gelateria, pet_store, gym, bakery, party_store, bike_shop, barber_shop, salon, noodle_house : 61075
Saved path: bookstore, cafe, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, pizzeria, craft_shop, florist : 57191
Saved path: party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, music_store, pharmacy : 58966
Saved path: noodle_house, barber_shop, bike_shop, party_store, bakery, bank, music_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store : 63012
Saved path: gym, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, bank, music_store, florist, pet_store : 65007
Saved path: bank, music_store, pharmacy, jewelry_store, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, gym, craft_shop, pet_store, florist : 63698
Saved path: tech_shop, clothing_store, toy_store, gym, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint : 56776
Saved path: bike_shop, barber_shop, salon, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, florist, bank, pharmacy, party_store, jewelry_store : 74351
Saved path: toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, gym, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, clothing_store : 61582
Saved path: noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, tech_shop, cafe : 63988
Saved path: cafe, tech_shop, grocery_store, dentist, craft_shop, florist, bank, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint : 68089
Saved path: tech_shop, clothing_store, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, dentist : 67326
Saved path: bike_shop, party_store, hardware_store, gym, burger_joint, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store : 60690
Saved path: cafe, pizzeria, craft_shop, gym, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store : 59467
Saved path: jewelry_store, party_store, hardware_store, barber_shop, salon, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, bike_shop : 58920
Saved path: toy_store, noodle_house, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, bike_shop, gym, burger_joint : 64390
Saved path: tech_shop, bookstore, craft_shop, pet_store, florist, gelateria, bank, music_store, bike_shop, party_store, bakery, barber_shop, hardware_store, toy_store, noodle_house : 64991
Saved path: pet_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, bank, florist : 60980
Saved path: salon, clothing_store, tech_shop, dentist, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, music_store, bike_shop, party_store, jewelry_store, barber_shop : 69185
Saved path: toy_store, salon, jewelry_store, bike_shop, bakery, bank, music_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store : 64828
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, barber_shop, bike_shop : 64811
Saved path: party_store, jewelry_store, bakery, gym, burger_joint, bookstore, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy : 62707
