Saved path: hardware_store, burger_joint, bookstore, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, florist, bank, gelateria, pharmacy, bakery, party_store : 60821
Saved path: bike_shop, bakery, hardware_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, music_store, jewelry_store : 57800
Saved path: pharmacy, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, gym, florist, gelateria, bank, music_store : 60223
Saved path: bank, gelateria, florist, gym, burger_joint, bookstore, cafe, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 62271
Saved path: barber_shop, pharmacy, music_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe, burger_joint, hardware_store, party_store, jewelry_store, bike_shop : 59126
Saved path: bike_shop, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, gym, hardware_store, bookstore, cafe, grocery_store, clothing_store, noodle_house, barber_shop : 58417
Saved path: clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bakery, hardware_store, gym, pet_store, dentist, cafe, bookstore, tech_shop, grocery_store : 54293
Saved path: barber_shop, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, pet_store, gelateria, bank, music_store, hardware_store, bakery, party_store, jewelry_store : 68914
Saved path: bakery, pharmacy, bank, gelateria, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, party_store : 65518
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, gym, florist, music_store, bank, gelateria, pet_store : 65075
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, hardware_store, gym, music_store : 55775
Saved path: bank, gelateria, bike_shop, jewelry_store, party_store, bakery, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, music_store : 66455
Saved path: pharmacy, gelateria, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, jewelry_store, party_store : 57369
Saved path: gelateria, music_store, florist, pet_store, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy : 46679
Saved path: gym, burger_joint, cafe, dentist, pizzeria, grocery_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store : 70373
Saved path: clothing_store, toy_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore : 55218
Saved path: pet_store, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank : 68542
Saved path: toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house, salon : 69111
Saved path: clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, music_store, gelateria, jewelry_store, party_store, bakery, gym, toy_store, salon : 59178
Saved path: burger_joint, bookstore, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop : 61156
Saved path: dentist, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, gym, burger_joint, bookstore : 63129
Saved path: florist, music_store, bike_shop, party_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store : 54991
Saved path: salon, noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 55970
Saved path: gym, craft_shop, pet_store, music_store, pharmacy, party_store, barber_shop, salon, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store : 62057
Saved path: noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, hardware_store, toy_store : 59912
