Saved path: cafe, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop : 46291
Saved path: salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, gym, gelateria, pharmacy, party_store, bakery, pet_store : 43406
Saved path: music_store, gelateria, jewelry_store, salon, bakery, pet_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, craft_shop, bank, florist : 46337
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, salon, pharmacy, music_store, florist, dentist, cafe, grocery_store, clothing_store : 38302
Saved path: pizzeria, gelateria, music_store, salon, bike_shop, pet_store, bakery, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 44394
Saved path: grocery_store, cafe, bookstore, craft_shop, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 41326
Saved path: pet_store, bakery, salon, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store : 47146
Saved path: bank, florist, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, dentist, craft_shop : 45165
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store : 47946
Saved path: florist, craft_shop, gym, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria : 41965
Saved path: bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, pizzeria, bank, music_store, gelateria, pharmacy, pet_store : 50265
Saved path: bank, florist, pharmacy, jewelry_store, bike_shop, pet_store, bakery, gym, toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop : 47216
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, pet_store : 46465
Saved path: noodle_house, toy_store, grocery_store, bookstore, craft_shop, bank, music_store, pharmacy, party_store, jewelry_store, bakery, pet_store, hardware_store, gym, burger_joint : 45704
Saved path: dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, party_store, pharmacy, florist, pizzeria : 44651
Saved path: bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, bike_shop, salon, pharmacy, gelateria, music_store : 36851
Saved path: bakery, barber_shop, party_store, pharmacy, music_store, bank, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store : 45514
Saved path: bank, craft_shop, pizzeria, gym, hardware_store, cafe, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria : 47567
Saved path: grocery_store, burger_joint, hardware_store, gym, pizzeria, bank, music_store, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 46958
Saved path: gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 47731
Saved path: party_store, pharmacy, florist, bank, craft_shop, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, bakery, bike_shop : 35761
Saved path: pharmacy, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop : 43051
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, pizzeria, music_store, gelateria, pharmacy : 47052
Saved path: salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, music_store, pharmacy : 46366
Saved path: bike_shop, salon, pharmacy, gelateria, music_store, bank, pizzeria, gym, dentist, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store : 52640
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, party_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint : 36530
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, music_store, party_store, salon, bakery, pet_store : 48439
Saved path: craft_shop, florist, music_store, party_store, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria : 42233
Saved path: burger_joint, hardware_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, cafe, clothing_store, toy_store, noodle_house, tech_shop : 33507
Saved path: tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, craft_shop, music_store, gelateria, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint : 44722
Saved path: pharmacy, gelateria, music_store, bank, pizzeria, gym, hardware_store, cafe, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 49613
Saved path: salon, hardware_store, toy_store, clothing_store, dentist, pizzeria, bank, gelateria, music_store, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop : 50718
Saved path: bakery, salon, party_store, pharmacy, gelateria, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, pet_store : 44747
Saved path: gelateria, pharmacy, salon, pet_store, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, florist, music_store : 51146
Saved path: burger_joint, cafe, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, gelateria, pharmacy, hardware_store, gym : 46853
Saved path: gelateria, music_store, florist, craft_shop, dentist, cafe, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery, party_store : 46439
Saved path: craft_shop, bank, florist, music_store, bakery, salon, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria : 34993
Saved path: bakery, barber_shop, party_store, pharmacy, gelateria, pizzeria, dentist, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store : 51068
Saved path: noodle_house, toy_store, hardware_store, bike_shop, bakery, barber_shop, party_store, gelateria, music_store, florist, bank, bookstore, dentist, clothing_store, tech_shop : 44013
Saved path: bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, bank, pizzeria, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store : 50182
Saved path: toy_store, tech_shop, grocery_store, cafe, hardware_store, gym, pizzeria, craft_shop, bank, music_store, pharmacy, bakery, pet_store, jewelry_store, barber_shop : 47286
Saved path: noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank, music_store, pharmacy, salon, bakery, pet_store, hardware_store, gym, toy_store : 47725
Saved path: dentist, craft_shop, bank, florist, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, burger_joint, bookstore, grocery_store : 40294
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, gym, bank, gelateria, pharmacy, bakery, pet_store : 49585
Saved path: bookstore, burger_joint, jewelry_store, pet_store, bakery, salon, pharmacy, music_store, florist, bank, dentist, grocery_store, toy_store, noodle_house, tech_shop : 47769
Saved path: bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, salon, bakery, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe : 34348
Saved path: music_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint, gym, craft_shop, florist : 39141
Saved path: clothing_store, cafe, hardware_store, gym, pizzeria, gelateria, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house : 49658
Saved path: gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, dentist, cafe, noodle_house, toy_store : 52399
Saved path: noodle_house, toy_store, clothing_store, dentist, craft_shop, pizzeria, florist, party_store, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop : 43599
Saved path: bookstore, cafe, grocery_store, noodle_house, barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop : 44745
Saved path: gelateria, florist, craft_shop, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 46062
