Saved path: craft_shop, bank, florist, music_store, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, cafe : 38859
Saved path: party_store, pharmacy, music_store, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, toy_store, jewelry_store, bakery, pet_store, bike_shop, salon : 50618
Saved path: craft_shop, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore : 46316
Saved path: barber_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, pet_store, bakery : 49461
Saved path: bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, gelateria, music_store, salon, bike_shop : 38396
Saved path: music_store, gelateria, party_store, salon, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank : 49210
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, salon, pharmacy, gelateria, music_store, pizzeria, gym, hardware_store, cafe, grocery_store, clothing_store : 48267
Saved path: bank, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, salon, hardware_store, toy_store, burger_joint, bookstore, dentist, craft_shop, pizzeria : 37321
Saved path: florist, music_store, gelateria, pharmacy, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore : 50269
Saved path: clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, bakery, barber_shop, toy_store : 35017
Saved path: bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, cafe, bookstore, pizzeria, bank, pharmacy, salon, bike_shop, pet_store : 44979
Saved path: music_store, florist, bank, craft_shop, dentist, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy : 40601
Saved path: toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, bakery, gym, burger_joint, tech_shop, noodle_house : 35370
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, craft_shop, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, gym : 42187
Saved path: pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, bookstore, cafe, burger_joint, hardware_store, gym, bank, florist, music_store : 45890
Saved path: hardware_store, salon, bike_shop, bakery, party_store, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store : 37580
Saved path: pizzeria, gelateria, party_store, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist : 40558
Saved path: florist, craft_shop, pizzeria, bookstore, cafe, burger_joint, toy_store, hardware_store, jewelry_store, pet_store, salon, party_store, pharmacy, gelateria, music_store : 42288
Saved path: florist, bank, craft_shop, pizzeria, bookstore, tech_shop, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store : 41749
Saved path: music_store, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, florist : 40970
Saved path: music_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, party_store, pharmacy : 46621
Saved path: pizzeria, craft_shop, dentist, grocery_store, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, gelateria, music_store, florist : 38238
Saved path: party_store, gelateria, music_store, florist, gym, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 41621
