Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, salon, bakery, gelateria, florist : 33756
Saved path: salon, party_store, music_store, gelateria, bank, dentist, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 52398
Saved path: gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 41148
Saved path: hardware_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, bank, florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store : 49141
Saved path: gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, hardware_store, gym, pizzeria, bank : 44074
Saved path: toy_store, clothing_store, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym : 43304
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, florist, music_store, gelateria, pharmacy, barber_shop, bakery, hardware_store : 40620
Saved path: gelateria, music_store, bank, pizzeria, bookstore, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store : 47244
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, pizzeria, craft_shop : 37012
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, craft_shop, florist, music_store : 36130
Saved path: tech_shop, noodle_house, toy_store, grocery_store, cafe, pizzeria, craft_shop, bank, gelateria, barber_shop, jewelry_store, bakery, pet_store, hardware_store, burger_joint : 44547
Saved path: pet_store, bakery, pharmacy, music_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 52072
