Saved path: bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, bank, florist, pharmacy, salon, bike_shop, pet_store : 39114
Saved path: bookstore, pizzeria, florist, music_store, gelateria, party_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, dentist : 50455
Saved path: bank, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist : 38948
Saved path: noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, grocery_store, tech_shop : 41521
Saved path: salon, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, gelateria, bakery, pet_store, bike_shop : 45555
Saved path: party_store, pharmacy, florist, bank, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop : 39644
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, bakery, barber_shop, gelateria, music_store, florist, bank, craft_shop, bookstore : 39444
Saved path: tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, pet_store, barber_shop, gelateria, music_store, bank, pizzeria, craft_shop, dentist, clothing_store : 50557
Saved path: salon, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, pizzeria, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop : 46624
Saved path: burger_joint, gym, craft_shop, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, clothing_store, grocery_store, cafe, bookstore : 37652
Saved path: dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, clothing_store : 50508
Saved path: burger_joint, bookstore, cafe, dentist, music_store, gelateria, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop : 53228
Saved path: florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, toy_store, jewelry_store, pet_store, bike_shop, salon, party_store, gelateria, music_store : 44259
Saved path: gelateria, pharmacy, jewelry_store, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, florist, music_store : 48444
Saved path: craft_shop, bank, gelateria, party_store, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist : 33878
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gym, pizzeria, florist, dentist, grocery_store, clothing_store : 48781
Saved path: tech_shop, toy_store, gym, jewelry_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store : 37581
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, gym : 34570
Saved path: toy_store, bookstore, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store, hardware_store, gym : 51624
Saved path: hardware_store, jewelry_store, bakery, party_store, music_store, florist, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 38574
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, cafe, gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon : 46269
Saved path: cafe, burger_joint, gym, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist : 37683
Saved path: bakery, barber_shop, toy_store, noodle_house, burger_joint, clothing_store, grocery_store, dentist, bank, pizzeria, gym, hardware_store, party_store, salon, bike_shop : 39556
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, gym, hardware_store, party_store, pharmacy, bike_shop, pet_store, bakery, toy_store : 44863
Saved path: tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria, music_store, florist, bank, gym, noodle_house : 37107
Saved path: clothing_store, grocery_store, cafe, burger_joint, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, pizzeria, craft_shop, gym, toy_store : 43728
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, bank, florist, gelateria, pharmacy, salon, bakery, pet_store : 38772
Saved path: gym, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 40472
Saved path: music_store, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store : 42281
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, bookstore, cafe, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 35248
Saved path: barber_shop, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, gym, pizzeria, florist, music_store, pharmacy, bike_shop, bakery, jewelry_store : 43246
Saved path: bakery, burger_joint, bookstore, pizzeria, bank, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop : 33736
Saved path: bank, florist, gelateria, pharmacy, party_store, jewelry_store, pet_store, bakery, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, craft_shop : 41546
Saved path: tech_shop, bookstore, pizzeria, craft_shop, bank, florist, gelateria, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store : 34694
Saved path: bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy : 43821
Saved path: bakery, barber_shop, party_store, pharmacy, florist, craft_shop, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store : 43185
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, gelateria, pharmacy, party_store, bike_shop, bakery, hardware_store, toy_store : 30060
Saved path: pet_store, bakery, barber_shop, toy_store, clothing_store, dentist, burger_joint, gym, pizzeria, bank, gelateria, music_store, party_store, salon, bike_shop : 52710
Saved path: salon, jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, cafe, clothing_store, noodle_house, toy_store, gym, bakery, pet_store : 42742
Saved path: florist, craft_shop, gym, pizzeria, bookstore, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store : 34891
Saved path: burger_joint, bookstore, dentist, craft_shop, pizzeria, gelateria, music_store, pharmacy, party_store, bike_shop, bakery, gym, toy_store, noodle_house, tech_shop : 39686
Saved path: cafe, grocery_store, clothing_store, toy_store, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, bank, craft_shop, gym, burger_joint : 42804
Saved path: bank, florist, gelateria, bakery, pet_store, bike_shop, salon, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, gym : 46114
Saved path: pizzeria, florist, music_store, gelateria, party_store, salon, jewelry_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist : 39107
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, music_store, florist, bank, pizzeria : 47004
Saved path: toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, salon, party_store, gelateria, music_store, pizzeria, dentist, cafe, grocery_store, clothing_store : 40785
Saved path: jewelry_store, bakery, party_store, gelateria, music_store, bank, craft_shop, gym, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop : 35760
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, hardware_store, pharmacy, gelateria, music_store, party_store, salon, bike_shop, bakery : 43839
Saved path: cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, music_store, pizzeria, bookstore : 50796
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, craft_shop, bank, music_store, party_store, bike_shop, pet_store, bakery : 45047
Saved path: clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store : 38419
Saved path: florist, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop : 34354
