Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, bank, pizzeria, dentist, cafe, clothing_store : 41694
Saved path: party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, hardware_store, gym, pizzeria, florist, music_store, gelateria, pharmacy : 35476
Saved path: party_store, hardware_store, gym, burger_joint, dentist, cafe, bookstore, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 44542
Saved path: gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, bank, music_store, pharmacy, party_store, bakery, bike_shop, hardware_store : 35191
Saved path: gym, hardware_store, bakery, bike_shop, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store : 34082
Saved path: pizzeria, craft_shop, bank, pharmacy, party_store, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore : 34616
Saved path: pharmacy, salon, bakery, pet_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist, craft_shop, bank, gelateria, music_store : 46411
Saved path: burger_joint, pet_store, bakery, jewelry_store, party_store, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house : 47774
Saved path: tech_shop, toy_store, barber_shop, pet_store, bakery, salon, music_store, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, dentist, grocery_store : 53279
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, music_store, florist, bank, gym, pizzeria, craft_shop, dentist, cafe : 39729
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, florist, bank, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store : 37075
Saved path: jewelry_store, barber_shop, music_store, gelateria, bank, pizzeria, craft_shop, dentist, burger_joint, noodle_house, toy_store, gym, hardware_store, pet_store, bakery : 51788
Saved path: party_store, pharmacy, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon : 46021
Saved path: hardware_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank, cafe, burger_joint, tech_shop, noodle_house, toy_store : 37401
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, pharmacy, party_store, salon, bike_shop, gym, burger_joint : 31883
Saved path: bakery, pet_store, bike_shop, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, gelateria, party_store, barber_shop : 49537
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe, bookstore, pizzeria, bank, florist, music_store, pharmacy, party_store, bakery : 35721
Saved path: party_store, salon, bike_shop, bakery, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, gelateria : 38050
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, dentist, bookstore, burger_joint, gym, pizzeria, bank, gelateria, pharmacy, salon, pet_store, bakery : 50181
Saved path: cafe, dentist, craft_shop, bank, gelateria, jewelry_store, bike_shop, pet_store, bakery, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 48327
Saved path: pizzeria, bank, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, tech_shop, cafe, dentist : 47839
Saved path: pet_store, bakery, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, pharmacy, salon, bike_shop : 48600
Saved path: jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym : 51700
Saved path: cafe, grocery_store, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist : 44589
Saved path: toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, music_store, bank, craft_shop, dentist, bookstore, burger_joint, noodle_house, tech_shop, clothing_store : 49092
Saved path: craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym, pet_store, bakery, party_store, pharmacy, gelateria, florist : 45421
Saved path: bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, gelateria, music_store, florist, bank, craft_shop : 35247
Saved path: party_store, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, clothing_store, tech_shop, toy_store, hardware_store, bike_shop, pet_store, bakery : 43347
Saved path: florist, bank, pizzeria, cafe, grocery_store, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria : 43884
Saved path: music_store, bank, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 48011
