Saved path: bakery, pet_store, bike_shop, party_store, gelateria, florist, bank, pizzeria, craft_shop, dentist, clothing_store, tech_shop, toy_store, gym, jewelry_store : 47894
Saved path: barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, burger_joint, gym, hardware_store, pharmacy, gelateria, music_store, salon, bike_shop, bakery : 44757
Saved path: bike_shop, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, music_store, gelateria, pharmacy, salon : 37988
Saved path: bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy, gelateria, pizzeria, craft_shop, dentist, cafe : 45593
Saved path: dentist, grocery_store, toy_store, gym, bakery, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint : 43315
Saved path: grocery_store, clothing_store, toy_store, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe : 35265
Saved path: dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, party_store, hardware_store, gym, pizzeria, bookstore, burger_joint : 50651
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery : 42897
Saved path: hardware_store, pet_store, bakery, barber_shop, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop, burger_joint : 51788
Saved path: bike_shop, party_store, music_store, gelateria, bank, pizzeria, gym, hardware_store, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 40314
Saved path: jewelry_store, party_store, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store, gym, hardware_store, pet_store, bakery : 47646
Saved path: burger_joint, hardware_store, gym, florist, music_store, gelateria, pet_store, bakery, salon, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore : 53518
Saved path: pharmacy, gelateria, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, party_store : 39339
Saved path: bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, party_store, pharmacy, gelateria : 38065
Saved path: gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store : 38570
Saved path: cafe, burger_joint, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, barber_shop, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria : 45491
Saved path: music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, florist : 39782
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store : 36465
Saved path: grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store : 46880
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, gelateria, music_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop : 51718
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, music_store, bank, craft_shop, pizzeria, bookstore, dentist : 43080
Saved path: noodle_house, burger_joint, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store : 39687
Saved path: bakery, barber_shop, party_store, pharmacy, florist, bank, craft_shop, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store : 42618
Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria, cafe : 43408
Saved path: florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, bakery, jewelry_store, party_store, pharmacy, music_store : 30694
Saved path: toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, pharmacy, party_store, salon, bakery, jewelry_store, hardware_store : 33742
Saved path: gelateria, music_store, florist, dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, bakery, bike_shop, salon, party_store : 38536
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, bakery, bike_shop, party_store : 37086
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, salon, pharmacy, gelateria, florist, bank : 41745
Saved path: dentist, craft_shop, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, bookstore, noodle_house, toy_store, clothing_store : 50761
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store : 30007
Saved path: tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, toy_store, noodle_house : 35147
Saved path: florist, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, barber_shop, bakery, pet_store, salon, party_store, pharmacy, gelateria : 44326
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, gym, craft_shop, music_store, gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store : 47252
Saved path: gelateria, bank, craft_shop, pizzeria, gym, hardware_store, cafe, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 46661
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, craft_shop, gym, burger_joint, cafe, grocery_store, tech_shop, toy_store : 44044
Saved path: jewelry_store, salon, bakery, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, dentist, cafe, burger_joint, gym, toy_store, barber_shop : 38802
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, gym, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop : 46148
Saved path: craft_shop, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, gym : 51951
Saved path: barber_shop, bakery, bike_shop, pharmacy, music_store, florist, bank, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store : 41957
Saved path: party_store, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, bakery, bike_shop, salon : 35368
Saved path: pharmacy, music_store, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 40778
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist : 42422
Saved path: dentist, cafe, burger_joint, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, music_store, florist, pizzeria, gym, toy_store, clothing_store : 48708
Saved path: burger_joint, gym, bank, florist, gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, dentist : 41317
Saved path: party_store, pharmacy, music_store, bank, gym, hardware_store, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 38465
Saved path: bookstore, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, music_store, florist, pizzeria : 35135
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, dentist : 38205
Saved path: bike_shop, salon, party_store, music_store, pharmacy, hardware_store, gym, burger_joint, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 40135
Saved path: gym, burger_joint, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, music_store, florist, bank : 51272
Saved path: party_store, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint, gym, toy_store, barber_shop, bakery, pet_store, bike_shop : 51101
Saved path: bookstore, florist, pharmacy, party_store, bakery, pet_store, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist : 45523
