Saved path: bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, pharmacy, bank, gym, hardware_store, burger_joint : 59187
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, pharmacy, gelateria, bank, pet_store, hardware_store, burger_joint : 52821
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, hardware_store, gym, florist, music_store, bank : 65048
Saved path: cafe, burger_joint, bookstore, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, tech_shop : 57006
Saved path: music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, party_store, gym, pet_store, bank : 65271
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, pharmacy : 55692
Saved path: hardware_store, gym, pet_store, bank, music_store, florist, pizzeria, dentist, cafe, burger_joint, toy_store, noodle_house, salon, barber_shop, party_store : 67425
Saved path: salon, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, party_store, hardware_store, burger_joint, toy_store : 54094
Saved path: hardware_store, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, dentist, burger_joint : 57851
Saved path: pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, hardware_store, craft_shop : 63159
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, pet_store, bank, music_store : 67662
Saved path: bank, music_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist : 59750
Saved path: noodle_house, clothing_store, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 56950
