Saved path: craft_shop, pizzeria, music_store, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, dentist : 39879
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store : 39082
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, party_store, salon, gym, burger_joint, tech_shop : 36353
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, pharmacy, florist, bank, pizzeria, burger_joint, cafe, grocery_store, clothing_store : 41324
Saved path: jewelry_store, bakery, salon, party_store, music_store, bank, craft_shop, pizzeria, gym, toy_store, noodle_house, clothing_store, cafe, burger_joint, hardware_store : 35210
Saved path: bakery, barber_shop, toy_store, noodle_house, burger_joint, grocery_store, dentist, craft_shop, bank, music_store, gelateria, party_store, salon, bike_shop, pet_store : 49634
Saved path: clothing_store, tech_shop, cafe, bookstore, craft_shop, bank, music_store, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store : 43408
Saved path: noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store, florist, bank, craft_shop, dentist, clothing_store : 45554
Saved path: cafe, clothing_store, noodle_house, toy_store, gym, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, florist, bank, craft_shop, pizzeria : 43379
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, party_store, hardware_store, gym, bank, dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store : 47075
Saved path: florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, salon, jewelry_store, gelateria, music_store : 38216
Saved path: noodle_house, burger_joint, bookstore, craft_shop, music_store, gelateria, party_store, salon, bike_shop, pet_store, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop : 45834
Saved path: pet_store, jewelry_store, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, dentist, craft_shop, florist, music_store, pharmacy, party_store : 49578
Saved path: clothing_store, dentist, bookstore, burger_joint, gym, pizzeria, bank, music_store, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house : 45068
Saved path: barber_shop, jewelry_store, bakery, bike_shop, party_store, pharmacy, florist, bank, gym, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store : 41346
Saved path: jewelry_store, barber_shop, pharmacy, gelateria, florist, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon : 46172
Saved path: bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, bank, florist, pharmacy, pet_store : 43444
Saved path: barber_shop, jewelry_store, pharmacy, salon, bike_shop, pet_store, bakery, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store : 47977
Saved path: gelateria, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, pet_store, bike_shop, party_store : 40344
Saved path: bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, pharmacy, gelateria : 31346
Saved path: noodle_house, tech_shop, clothing_store, cafe, pizzeria, craft_shop, florist, music_store, party_store, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store : 45269
Saved path: toy_store, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, tech_shop : 38491
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, barber_shop, bakery, party_store, pharmacy, music_store, bank : 38938
Saved path: dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, gelateria, music_store, florist, bookstore, cafe : 41614
Saved path: hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 42190
Saved path: dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, music_store, bank, craft_shop : 38955
Saved path: florist, bank, pizzeria, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, barber_shop, pharmacy, gelateria : 42275
Saved path: party_store, pharmacy, gelateria, florist, bank, craft_shop, gym, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery : 32227
Saved path: pet_store, party_store, gelateria, music_store, bank, craft_shop, gym, pizzeria, bookstore, cafe, tech_shop, toy_store, barber_shop, jewelry_store, bakery : 45739
Saved path: toy_store, pet_store, bike_shop, salon, party_store, jewelry_store, hardware_store, gym, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 44155
Saved path: bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bike_shop, pet_store, bakery, party_store, gelateria, bank, pizzeria : 45718
