Saved path: burger_joint, grocery_store, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore : 43549
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bike_shop, bakery, gym, pizzeria, bank, craft_shop, dentist, cafe, burger_joint : 38036
Saved path: florist, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, bank : 36310
Saved path: bike_shop, gelateria, bank, craft_shop, gym, hardware_store, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 46989
Saved path: clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, bank, florist, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop : 34077
Saved path: bank, pizzeria, bookstore, dentist, grocery_store, toy_store, gym, jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, florist : 48230
Saved path: grocery_store, cafe, burger_joint, gym, hardware_store, party_store, music_store, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store : 38495
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, bank, gym, craft_shop, dentist, cafe : 48589
Saved path: burger_joint, cafe, bookstore, craft_shop, florist, music_store, gelateria, party_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop : 39140
Saved path: noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store, music_store, florist, pizzeria, dentist, cafe, grocery_store, tech_shop : 45619
Saved path: pet_store, jewelry_store, party_store, gelateria, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, gym, bakery : 47495
Saved path: grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon, pharmacy, gelateria, craft_shop, dentist : 41485
Saved path: pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, dentist, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym : 50816
Saved path: gelateria, pharmacy, bike_shop, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, florist : 37973
Saved path: pet_store, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, pizzeria, gym, toy_store, clothing_store, tech_shop, cafe, burger_joint : 42671
Saved path: salon, music_store, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery, pet_store : 49874
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, gym, cafe, grocery_store, clothing_store : 37186
Saved path: clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, bike_shop, bakery, gym, burger_joint, noodle_house, toy_store : 32837
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, bookstore, noodle_house, toy_store, jewelry_store, salon : 39043
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, florist : 38113
Saved path: dentist, craft_shop, florist, pizzeria, gym, hardware_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, burger_joint, bookstore, grocery_store : 38733
Saved path: party_store, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, salon : 38953
Saved path: barber_shop, clothing_store, dentist, cafe, bookstore, burger_joint, gym, florist, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store : 49963
Saved path: bakery, bike_shop, party_store, pharmacy, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, barber_shop : 39939
Saved path: pharmacy, party_store, bike_shop, bakery, barber_shop, noodle_house, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, florist, gelateria : 38141
Saved path: salon, music_store, gelateria, florist, bank, bookstore, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 47183
Saved path: tech_shop, burger_joint, bakery, pet_store, bike_shop, jewelry_store, pharmacy, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store : 47222
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, grocery_store, clothing_store : 36501
Saved path: gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, bank, pizzeria : 49525
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, pizzeria, florist, music_store, party_store, barber_shop, bakery, pet_store, salon, hardware_store : 50406
Saved path: barber_shop, jewelry_store, bakery, gelateria, party_store, hardware_store, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 39092
