Saved path: tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bakery, bike_shop, jewelry_store, music_store, florist, craft_shop, pizzeria : 58257
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, florist, gym, hardware_store, bookstore, cafe : 50125
Saved path: barber_shop, salon, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, florist, music_store, jewelry_store, bakery : 60451
Saved path: gelateria, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 56543
Saved path: jewelry_store, party_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, music_store, bank, gelateria : 61575
Saved path: bookstore, burger_joint, gym, pet_store, florist, gelateria, bank, music_store, jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, dentist, cafe : 70098
Saved path: hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore : 54836
Saved path: grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, music_store, bank, florist, gym, burger_joint, cafe, dentist, tech_shop : 65025
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, bank, pet_store, gym, hardware_store, party_store, jewelry_store, barber_shop, salon, toy_store : 72823
Saved path: pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, bookstore, clothing_store, grocery_store : 71245
Saved path: gym, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank : 67470
Saved path: bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery : 64427
Saved path: pet_store, bank, music_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop : 62796
Saved path: barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, pizzeria, pet_store, bank, music_store, pharmacy, bakery, bike_shop : 61265
Saved path: pizzeria, dentist, bookstore, gym, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, music_store, bank, gelateria, pet_store, craft_shop : 73559
Saved path: cafe, burger_joint, bookstore, craft_shop, music_store, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store : 47701
Saved path: burger_joint, bookstore, grocery_store, tech_shop, pizzeria, florist, bank, music_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store : 69993
Saved path: pet_store, florist, music_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, hardware_store, gym : 54793
Saved path: music_store, gelateria, pet_store, bookstore, burger_joint, cafe, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 56340
Saved path: bike_shop, bakery, pharmacy, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, party_store : 54738
Saved path: pharmacy, gelateria, music_store, florist, gym, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store : 57302
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, gelateria : 62581
Saved path: burger_joint, gym, craft_shop, pet_store, pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe : 59951
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, gym, florist, gelateria, pet_store, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house : 61316
Saved path: gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, clothing_store, tech_shop, dentist, cafe, bookstore, gym, florist, music_store, bank : 62744
Saved path: clothing_store, bookstore, burger_joint, gym, hardware_store, party_store, bike_shop, barber_shop, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop : 62865
