Saved path: bike_shop, pet_store, bakery, barber_shop, music_store, bank, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store : 53127
Saved path: gelateria, music_store, florist, bank, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, salon, party_store : 35831
Saved path: salon, pet_store, bakery, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, bank, florist, music_store : 50392
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bike_shop, pet_store : 47729
Saved path: hardware_store, gym, toy_store, clothing_store, tech_shop, bookstore, pizzeria, craft_shop, bank, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store : 43630
Saved path: toy_store, gym, bakery, pet_store, salon, jewelry_store, pharmacy, music_store, florist, bank, dentist, cafe, bookstore, tech_shop, clothing_store : 49477
Saved path: toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria, bank, music_store, gelateria, barber_shop, salon, bakery, pet_store, hardware_store : 51551
Saved path: bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, gym, toy_store, noodle_house, grocery_store : 33922
Saved path: cafe, burger_joint, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, florist, bank, craft_shop, pizzeria : 41898
Saved path: barber_shop, bakery, bike_shop, pharmacy, music_store, gelateria, bank, pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store : 38210
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, florist, gelateria, jewelry_store, salon, bakery, pet_store, hardware_store, gym, burger_joint : 44165
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, hardware_store, gym, pizzeria, florist, dentist : 40328
Saved path: hardware_store, bakery, barber_shop, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store : 40848
Saved path: grocery_store, cafe, burger_joint, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, florist, pizzeria, dentist : 48083
Saved path: toy_store, tech_shop, grocery_store, cafe, pizzeria, craft_shop, bank, florist, gelateria, party_store, salon, bakery, jewelry_store, hardware_store, gym : 32573
Saved path: barber_shop, pharmacy, gelateria, florist, bank, dentist, grocery_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, salon, pet_store, bakery : 49525
Saved path: gelateria, bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria : 41812
Saved path: toy_store, tech_shop, burger_joint, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store : 38551
Saved path: hardware_store, jewelry_store, salon, bakery, gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 35132
Saved path: bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, bank, florist, gelateria, party_store : 38084
Saved path: burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym : 53895
Saved path: pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, florist : 42918
Saved path: pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store, florist : 44169
Saved path: music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store, toy_store, grocery_store, cafe, burger_joint, craft_shop, bank, florist : 41119
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bike_shop, party_store, music_store, gelateria : 46997
Saved path: party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, pet_store, bike_shop, salon : 45917
Saved path: dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, pet_store, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore : 49576
Saved path: craft_shop, pizzeria, gelateria, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, tech_shop, cafe, dentist : 49608
Saved path: pharmacy, gelateria, bank, craft_shop, gym, burger_joint, dentist, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store : 49697
Saved path: gym, bank, florist, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore : 42425
Saved path: hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy, bike_shop, bakery, barber_shop, jewelry_store : 39637
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, party_store, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store : 33419
Saved path: pharmacy, florist, bank, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bakery, barber_shop : 38289
Saved path: grocery_store, clothing_store, dentist, craft_shop, bank, florist, gelateria, pharmacy, party_store, pet_store, bakery, gym, burger_joint, bookstore, cafe : 43043
Saved path: salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, hardware_store, gym, craft_shop, bank, pharmacy, party_store, pet_store, bakery : 44251
Saved path: tech_shop, burger_joint, dentist, bookstore, pizzeria, gym, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store : 44677
Saved path: barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, bank, gelateria, salon, bike_shop, bakery : 42968
Saved path: pharmacy, gelateria, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store : 40543
Saved path: bakery, barber_shop, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, salon : 39821
Saved path: cafe, bookstore, gym, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store : 35640
Saved path: bank, pizzeria, gym, hardware_store, noodle_house, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, florist : 33884
Saved path: gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop : 43388
Saved path: bank, pizzeria, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, salon, bakery, pet_store, barber_shop, party_store, pharmacy, gelateria : 45992
