Saved path: bike_shop, salon, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, burger_joint, gym, bakery, pet_store : 48012
Saved path: pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, gelateria, music_store : 41133
Saved path: dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, barber_shop, bakery, pharmacy, florist, craft_shop, pizzeria, bookstore : 41220
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, gym, bank, gelateria, party_store, salon, bakery, pet_store, barber_shop : 45093
Saved path: music_store, party_store, salon, bike_shop, bakery, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank : 39522
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop : 36643
Saved path: jewelry_store, hardware_store, gym, pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, pharmacy, party_store, salon, bakery, pet_store : 47593
Saved path: florist, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, gym, toy_store, barber_shop, jewelry_store, bakery, party_store, gelateria, music_store : 35357
Saved path: burger_joint, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, pet_store, bakery, toy_store, grocery_store, dentist : 47500
Saved path: pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, pet_store, bakery : 47656
Saved path: bookstore, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, gelateria, music_store, florist, gym, pizzeria : 48756
Saved path: grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, bakery, salon, jewelry_store, toy_store : 37816
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, bank, florist, gelateria, pharmacy, salon, bike_shop, pet_store, bakery : 43423
Saved path: gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, bakery, pet_store, bike_shop : 41499
Saved path: noodle_house, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, party_store, music_store, bank, craft_shop, pizzeria, gym : 46230
Saved path: salon, pharmacy, gelateria, florist, craft_shop, gym, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bakery, pet_store, bike_shop : 43709
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, music_store, pizzeria, dentist, cafe, clothing_store, toy_store : 52189
Saved path: hardware_store, gym, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store : 42148
Saved path: hardware_store, gym, bank, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint : 37413
Saved path: cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, pet_store, jewelry_store, party_store, gelateria, music_store, florist, pizzeria, bookstore, burger_joint : 48346
Saved path: hardware_store, jewelry_store, bike_shop, bakery, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store : 39581
Saved path: gelateria, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist : 43682
Saved path: pet_store, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, gelateria, pharmacy, salon, bakery : 44119
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, pharmacy, florist, pizzeria, bookstore : 40090
Saved path: bakery, salon, party_store, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store : 45085
Saved path: music_store, gelateria, bakery, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop, pizzeria, bank : 38385
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, jewelry_store : 45103
Saved path: salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, pizzeria, craft_shop, florist, gelateria, party_store, bakery, pet_store : 43543
Saved path: cafe, dentist, craft_shop, bank, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 44437
Saved path: bank, craft_shop, dentist, grocery_store, clothing_store, noodle_house, bookstore, gym, hardware_store, pet_store, bakery, party_store, pharmacy, music_store, florist : 46666
Saved path: dentist, burger_joint, tech_shop, noodle_house, toy_store, gym, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, florist, pizzeria, craft_shop : 49482
Saved path: clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, florist, craft_shop, pizzeria, burger_joint, noodle_house, tech_shop : 42437
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, music_store, florist, bank, gym, hardware_store, burger_joint, bookstore : 36443
Saved path: dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym, bike_shop, bakery, jewelry_store, music_store, florist, bank, pizzeria, craft_shop : 41750
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, barber_shop, jewelry_store : 50044
Saved path: florist, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, gym, bank : 39147
Saved path: craft_shop, bank, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, cafe, pizzeria : 43127
