Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, gelateria, bank, craft_shop, dentist, grocery_store, bookstore : 41316
Saved path: tech_shop, clothing_store, grocery_store, craft_shop, florist, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house : 45666
Saved path: tech_shop, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop, bank, music_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house : 44651
Saved path: toy_store, noodle_house, burger_joint, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, gym : 45120
Saved path: barber_shop, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, bank, florist, gelateria, pharmacy, party_store, bike_shop, bakery : 40573
Saved path: florist, bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, craft_shop, bank : 40865
Saved path: tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store : 44248
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, pizzeria, florist, music_store, gelateria : 42627
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, pet_store, party_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist : 48498
Saved path: florist, bank, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria : 40358
Saved path: jewelry_store, salon, bike_shop, bakery, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store, gelateria, pharmacy : 39034
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, music_store, bank, craft_shop, dentist, cafe, tech_shop, toy_store, gym, hardware_store : 42144
Saved path: music_store, party_store, salon, bakery, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, bank : 47119
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, cafe, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store : 43286
Saved path: florist, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, gelateria : 33052
Saved path: craft_shop, bank, florist, music_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, hardware_store, gym : 48487
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bookstore : 44361
Saved path: bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, gym, pizzeria : 43473
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, gym, bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, noodle_house : 44058
Saved path: bike_shop, pet_store, bakery, barber_shop, pharmacy, bank, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 51371
Saved path: jewelry_store, bakery, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, gym : 41373
Saved path: craft_shop, gym, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, pet_store, bakery, salon, jewelry_store, pharmacy, music_store, florist : 44806
Saved path: tech_shop, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 43494
Saved path: bakery, salon, party_store, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, gym, pet_store : 45329
Saved path: party_store, music_store, florist, gym, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 45256
Saved path: hardware_store, gym, florist, bank, craft_shop, pizzeria, cafe, burger_joint, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 44358
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, gym, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop : 48384
Saved path: bank, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, grocery_store, cafe, burger_joint, bookstore : 46962
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, cafe, grocery_store, clothing_store : 36263
Saved path: music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, florist : 47408
Saved path: pizzeria, craft_shop, bank, florist, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore : 40877
Saved path: salon, bike_shop, bakery, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, bank, pharmacy, party_store : 36925
Saved path: dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, music_store, bank, craft_shop : 41776
Saved path: pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, cafe, bookstore, pizzeria, gym, craft_shop, bank, florist, music_store, gelateria : 35504
Saved path: music_store, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, grocery_store, cafe, dentist, florist : 51700
Saved path: clothing_store, toy_store, barber_shop, bakery, pet_store, party_store, gelateria, music_store, florist, craft_shop, bookstore, burger_joint, noodle_house, tech_shop, grocery_store : 44958
Saved path: jewelry_store, bike_shop, pet_store, gym, burger_joint, bookstore, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria : 52553
Saved path: toy_store, clothing_store, grocery_store, cafe, bank, florist, music_store, gelateria, party_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store : 45135
Saved path: gym, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, florist, bank : 45212
Saved path: hardware_store, pet_store, bakery, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, bank, craft_shop, dentist, bookstore, noodle_house, gym : 51135
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, gym, cafe, grocery_store, tech_shop, noodle_house, toy_store : 43527
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore : 45466
Saved path: grocery_store, cafe, gym, craft_shop, bank, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, jewelry_store, hardware_store, toy_store : 44880
Saved path: cafe, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, music_store, bank, pizzeria, bookstore : 43797
Saved path: gelateria, florist, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, salon, party_store, pharmacy : 40605
Saved path: florist, music_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 51166
Saved path: gelateria, party_store, salon, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist : 30066
Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, florist, bank, gym, cafe, grocery_store, clothing_store, noodle_house, toy_store, bakery : 42380
Saved path: gelateria, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, florist : 46201
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, music_store, party_store, salon, bakery, gym, toy_store, noodle_house : 36110
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, florist, bank, dentist, grocery_store, cafe, bookstore, burger_joint : 47740
Saved path: bakery, bike_shop, music_store, florist, bank, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store : 39211
Saved path: barber_shop, jewelry_store, salon, pet_store, bakery, burger_joint, bookstore, pizzeria, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store : 43245
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, party_store, bakery, pet_store : 43128
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, party_store, gelateria, bank, pizzeria, bookstore, cafe, dentist : 35294
Saved path: bank, florist, music_store, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop : 36328
Saved path: florist, bank, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon, jewelry_store, party_store, music_store : 47852
Saved path: pharmacy, gelateria, music_store, pizzeria, bookstore, dentist, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, salon, party_store : 43308
Saved path: cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store, music_store, florist, bank, pizzeria, dentist : 40464
Saved path: burger_joint, gym, craft_shop, bank, music_store, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe : 45026
