Saved path: dentist, craft_shop, pizzeria, gym, hardware_store, party_store, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 38767
Saved path: pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, bookstore, cafe, clothing_store, grocery_store, dentist, craft_shop, music_store : 40768
Saved path: tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, salon, bakery, jewelry_store, toy_store, clothing_store : 32061
Saved path: pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, bike_shop, bakery, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore : 32837
Saved path: burger_joint, gym, craft_shop, bank, gelateria, pharmacy, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, tech_shop, bookstore, cafe : 43466
Saved path: jewelry_store, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, salon, pet_store : 45840
Saved path: party_store, bakery, bike_shop, salon, jewelry_store, gym, toy_store, tech_shop, burger_joint, dentist, pizzeria, bank, florist, music_store, gelateria : 40734
Saved path: jewelry_store, toy_store, tech_shop, grocery_store, cafe, burger_joint, gym, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 42909
Saved path: clothing_store, bookstore, dentist, craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house : 40717
Saved path: party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, pizzeria, florist, gelateria : 37057
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, music_store, party_store, jewelry_store, salon, bike_shop, pet_store, gym : 46600
Saved path: dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, party_store, music_store, florist, pizzeria, bookstore, cafe : 49699
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, gelateria : 35803
Saved path: jewelry_store, pharmacy, music_store, florist, bank, craft_shop, dentist, bookstore, tech_shop, clothing_store, toy_store, gym, bakery, bike_shop, salon : 41570
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, salon, jewelry_store, party_store, pharmacy, gelateria, pizzeria : 41157
Saved path: pizzeria, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop : 35247
