Saved path: clothing_store, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, florist, bank, craft_shop, dentist, bookstore : 48485
Saved path: toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, salon, gym, burger_joint, noodle_house : 37547
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery : 35237
Saved path: pharmacy, gelateria, music_store, pizzeria, dentist, cafe, burger_joint, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, party_store : 44210
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon, pharmacy, music_store, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store : 40767
Saved path: cafe, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, pharmacy, music_store, florist, bank, dentist : 47950
Saved path: pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, jewelry_store, salon, party_store : 39718
Saved path: grocery_store, clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, tech_shop : 47393
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, florist, craft_shop, grocery_store, clothing_store, noodle_house, toy_store : 45475
Saved path: bakery, bike_shop, salon, party_store, florist, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym : 36448
Saved path: salon, jewelry_store, music_store, florist, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery : 48971
Saved path: salon, pet_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy : 43851
Saved path: hardware_store, pet_store, bakery, salon, party_store, music_store, gelateria, bank, craft_shop, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store : 41558
Saved path: jewelry_store, barber_shop, toy_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, pet_store, bike_shop : 47785
Saved path: craft_shop, florist, music_store, gelateria, party_store, salon, bakery, pet_store, hardware_store, burger_joint, bookstore, noodle_house, toy_store, clothing_store, dentist : 46613
Saved path: gym, toy_store, clothing_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, pizzeria : 36494
Saved path: toy_store, gym, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop : 48943
Saved path: pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy : 43339
