Saved path: cafe, dentist, clothing_store, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, bookstore : 49134
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, florist, pizzeria, bookstore, clothing_store : 43808
Saved path: cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, pet_store, salon, pharmacy, florist, craft_shop, pizzeria, bookstore : 40480
Saved path: hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist, pharmacy, salon, bakery, pet_store : 37764
Saved path: bank, florist, music_store, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, dentist, craft_shop : 45757
Saved path: gym, pizzeria, bank, florist, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, party_store, salon, bike_shop, bakery : 39279
Saved path: grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, gym, pizzeria, florist, craft_shop, dentist, cafe : 35908
Saved path: bookstore, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, craft_shop, gym : 51906
Saved path: florist, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, dentist, craft_shop, gym : 47655
Saved path: pizzeria, bank, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore : 47394
Saved path: barber_shop, party_store, pharmacy, music_store, florist, pizzeria, bookstore, burger_joint, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store, bakery : 46773
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop : 36318
Saved path: gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint : 49531
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store, bakery, pet_store : 41112
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, jewelry_store, bakery, pet_store : 48790
Saved path: grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, music_store, pizzeria, bookstore, cafe, dentist : 40056
Saved path: party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, gym, craft_shop, bank, music_store : 45183
Saved path: gelateria, pharmacy, party_store, bakery, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank : 31649
Saved path: pet_store, salon, party_store, music_store, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery : 49503
Saved path: bakery, bike_shop, salon, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bank, music_store, barber_shop : 43709
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, party_store, music_store, florist, craft_shop, pizzeria, bookstore, cafe : 34865
Saved path: bike_shop, salon, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, bookstore, craft_shop, bank, gelateria, pharmacy, party_store, barber_shop, bakery : 36569
Saved path: barber_shop, bakery, pet_store, salon, hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, dentist, craft_shop, pizzeria, florist, music_store : 53071
Saved path: florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, jewelry_store, party_store, pharmacy, music_store : 37007
Saved path: bike_shop, salon, pharmacy, music_store, dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 52201
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store : 39585
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, bakery, barber_shop, hardware_store, toy_store : 40055
Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, bank, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym : 44825
Saved path: hardware_store, barber_shop, bakery, salon, pharmacy, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 36826
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store : 36124
Saved path: pharmacy, salon, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank : 34378
Saved path: bike_shop, bakery, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, salon : 36192
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, dentist, craft_shop, florist, music_store : 44936
Saved path: craft_shop, pizzeria, gym, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, music_store, florist, bank : 35101
Saved path: bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, party_store, gelateria : 48145
Saved path: cafe, dentist, craft_shop, pizzeria, gelateria, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, toy_store, grocery_store : 50459
Saved path: bakery, pet_store, bike_shop, pharmacy, music_store, bank, pizzeria, gym, hardware_store, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store : 48264
Saved path: clothing_store, grocery_store, burger_joint, hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, music_store, florist, bank, gym, toy_store, noodle_house : 33735
Saved path: noodle_house, clothing_store, cafe, dentist, pizzeria, bank, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store : 48415
Saved path: gelateria, music_store, florist, bank, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, party_store : 37999
Saved path: pharmacy, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store : 38931
Saved path: jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, cafe, clothing_store, burger_joint, gym : 44034
Saved path: craft_shop, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, party_store, gelateria, florist : 32517
Saved path: bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, music_store, gelateria, bank, craft_shop, dentist : 49713
Saved path: bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, pizzeria, craft_shop, gelateria, pharmacy, party_store, pet_store : 44549
