Saved path: toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 48559
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, bank, florist, pet_store : 40170
Saved path: toy_store, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, salon, jewelry_store, gelateria, music_store, craft_shop, dentist, cafe, grocery_store : 50425
Saved path: music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria : 36172
Saved path: toy_store, noodle_house, burger_joint, cafe, bookstore, pizzeria, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym : 37026
Saved path: party_store, gelateria, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop : 48382
Saved path: dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, pet_store, bakery, party_store, gelateria, florist, craft_shop : 46698
Saved path: clothing_store, tech_shop, noodle_house, toy_store, bakery, bike_shop, party_store, pharmacy, gelateria, pizzeria, craft_shop, gym, burger_joint, cafe, grocery_store : 32903
Saved path: gelateria, music_store, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, craft_shop, bank : 42553
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, cafe, burger_joint, bookstore, pizzeria, florist, music_store, party_store, salon, bike_shop : 37662
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, gym, craft_shop, bookstore : 42920
Saved path: music_store, gelateria, party_store, barber_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, pizzeria, bank, florist : 38754
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, party_store, bakery, pet_store, bike_shop : 49116
Saved path: dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, florist, bank, pizzeria, bookstore : 50629
Saved path: gym, craft_shop, gelateria, party_store, bakery, bike_shop, salon, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store : 33960
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, jewelry_store, salon, bakery, pet_store, pharmacy, florist, pizzeria, craft_shop, dentist, cafe : 46179
Saved path: music_store, gelateria, party_store, bike_shop, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, florist : 50890
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pharmacy, gelateria, florist, bank : 35049
Saved path: bakery, hardware_store, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, salon, bike_shop, pet_store : 43586
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, florist, gelateria, party_store, pet_store : 50118
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore, pizzeria, gym, florist : 50713
Saved path: toy_store, tech_shop, burger_joint, gym, hardware_store, salon, bakery, party_store, gelateria, music_store, bookstore, cafe, dentist, grocery_store, clothing_store : 38638
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore, gym, craft_shop, bank, music_store, gelateria : 45048
Saved path: dentist, bank, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 49558
Saved path: salon, jewelry_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, gym, bike_shop : 42764
Saved path: hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, craft_shop, bookstore, burger_joint, cafe, clothing_store, toy_store : 30466
Saved path: florist, music_store, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, bookstore, dentist, craft_shop : 40509
Saved path: burger_joint, gym, bike_shop, pet_store, bakery, jewelry_store, music_store, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house : 50971
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, craft_shop, gym, toy_store : 36679
Saved path: toy_store, clothing_store, grocery_store, dentist, bank, florist, pharmacy, salon, bike_shop, bakery, hardware_store, gym, burger_joint, tech_shop, noodle_house : 36015
Saved path: salon, bakery, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store : 35799
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym : 42072
Saved path: bike_shop, salon, party_store, pharmacy, music_store, gelateria, bank, craft_shop, dentist, gym, toy_store, barber_shop, jewelry_store, bakery, pet_store : 50693
Saved path: bank, music_store, gelateria, party_store, jewelry_store, salon, bakery, gym, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop : 40078
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store, gelateria, pharmacy : 40274
Saved path: bank, florist, gelateria, bakery, salon, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria : 35097
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, cafe, hardware_store, gym, pizzeria : 37364
Saved path: salon, party_store, pharmacy, gelateria, florist, bank, gym, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 43471
Saved path: tech_shop, toy_store, barber_shop, bakery, pet_store, salon, pharmacy, music_store, florist, pizzeria, gym, dentist, cafe, grocery_store, clothing_store : 51523
Saved path: salon, bike_shop, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, bank, florist, pharmacy : 38568
Saved path: pharmacy, bank, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon : 46796
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store : 34776
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, craft_shop, gym, hardware_store, noodle_house : 39769
Saved path: salon, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bike_shop : 45819
Saved path: pet_store, bike_shop, pharmacy, music_store, florist, bank, craft_shop, gym, hardware_store, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, bakery : 47434
Saved path: noodle_house, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store : 43424
Saved path: bookstore, burger_joint, gym, craft_shop, bank, florist, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist : 38784
Saved path: party_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 46056
Saved path: pet_store, bike_shop, hardware_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, barber_shop, bakery : 49101
Saved path: toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop : 33422
Saved path: gym, burger_joint, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, salon, pharmacy, music_store, bank, pizzeria : 40826
Saved path: music_store, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 51637
Saved path: toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, burger_joint, bookstore, noodle_house : 43439
Saved path: bakery, salon, jewelry_store, pharmacy, florist, bank, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store : 44221
Saved path: pizzeria, craft_shop, bank, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, bookstore : 32565
Saved path: bike_shop, salon, party_store, pharmacy, music_store, pizzeria, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store : 42052
Saved path: burger_joint, cafe, dentist, pizzeria, bank, music_store, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 38392
