Saved path: gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, bank : 40604
Saved path: bike_shop, pet_store, bakery, gelateria, bank, pizzeria, bookstore, dentist, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon : 49981
Saved path: bakery, pet_store, hardware_store, gym, toy_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, bank, music_store, gelateria, party_store : 48228
Saved path: clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, bank, music_store, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop : 38346
Saved path: hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store : 49630
Saved path: pharmacy, party_store, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank : 45272
Saved path: barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, craft_shop, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery : 43742
Saved path: gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store : 42442
Saved path: pet_store, bike_shop, party_store, pharmacy, music_store, bank, pizzeria, bookstore, cafe, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 45774
Saved path: pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, florist, bank, gym : 44845
Saved path: cafe, bookstore, pizzeria, florist, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store : 34859
Saved path: toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, dentist, cafe, clothing_store : 42219
Saved path: jewelry_store, barber_shop, bakery, party_store, pharmacy, bank, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store : 39659
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, bank, dentist, cafe, bookstore, tech_shop : 46112
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, music_store, pharmacy, bike_shop, bakery, barber_shop : 41190
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, burger_joint, pet_store : 46550
Saved path: pet_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, party_store, jewelry_store, salon, bakery : 46941
Saved path: gelateria, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 39937
Saved path: toy_store, tech_shop, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, bank, gelateria, party_store, pet_store, bakery, jewelry_store, barber_shop : 43799
Saved path: barber_shop, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 47213
Saved path: bank, florist, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, dentist, burger_joint, gym : 47720
Saved path: craft_shop, florist, bank, pizzeria, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, party_store, bakery, pet_store, hardware_store, gym : 44066
Saved path: dentist, bookstore, gym, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store : 42606
Saved path: toy_store, tech_shop, burger_joint, dentist, pizzeria, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop : 48732
Saved path: toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, bank, florist, music_store, bike_shop, pet_store, bakery, hardware_store : 49290
Saved path: toy_store, tech_shop, burger_joint, hardware_store, pet_store, bakery, barber_shop, party_store, music_store, florist, bank, pizzeria, bookstore, cafe, grocery_store : 45682
Saved path: jewelry_store, toy_store, tech_shop, grocery_store, cafe, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 41247
Saved path: gym, bank, gelateria, music_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, bookstore, cafe, dentist : 52432
Saved path: salon, party_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery : 34821
Saved path: grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, bike_shop, jewelry_store, party_store, music_store, craft_shop, pizzeria, bookstore, dentist : 43207
Saved path: salon, bakery, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store : 34570
Saved path: toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore, burger_joint : 46005
Saved path: bank, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, florist : 49529
Saved path: bank, florist, gelateria, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop : 33010
Saved path: pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bakery, salon, pharmacy, music_store : 44558
Saved path: craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, jewelry_store, party_store, florist : 41780
