Saved path: cafe, dentist, pizzeria, craft_shop, gelateria, pharmacy, bakery, jewelry_store, party_store, gym, burger_joint, bookstore, noodle_house, grocery_store, tech_shop : 54117
Saved path: bookstore, cafe, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, gym : 61860
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist : 60634
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, toy_store, hardware_store, barber_shop, jewelry_store, bike_shop, bakery : 59932
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, salon, barber_shop, bakery, pharmacy, bank, pet_store : 60465
Saved path: clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, cafe : 62394
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gelateria, pharmacy, bakery : 56670
Saved path: gym, bookstore, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 64608
Saved path: party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, music_store, gelateria, pharmacy : 52147
Saved path: clothing_store, noodle_house, toy_store, hardware_store, bike_shop, bakery, pharmacy, gelateria, florist, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop : 44962
Saved path: pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank : 60516
Saved path: music_store, florist, craft_shop, pizzeria, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 57517
Saved path: pizzeria, craft_shop, gym, hardware_store, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop : 45513
Saved path: jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, bank : 70889
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery : 60053
Saved path: music_store, florist, pet_store, craft_shop, dentist, burger_joint, tech_shop, grocery_store, clothing_store, salon, hardware_store, party_store, bakery, gelateria, bank : 62089
Saved path: gelateria, bank, pet_store, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, pharmacy : 63719
Saved path: tech_shop, grocery_store, cafe, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store, pizzeria : 62368
Saved path: salon, barber_shop, bike_shop, pharmacy, bank, gelateria, florist, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house : 56407
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, bookstore, cafe, dentist, pizzeria : 68334
Saved path: bike_shop, barber_shop, salon, toy_store, clothing_store, cafe, burger_joint, hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery, jewelry_store : 53653
Saved path: music_store, florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery, party_store, gelateria, bank : 61966
Saved path: party_store, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, pet_store, pizzeria, dentist, grocery_store, noodle_house, bookstore, gym, hardware_store : 67858
Saved path: tech_shop, cafe, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria : 66159
Saved path: party_store, bike_shop, music_store, bank, pet_store, gym, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery : 68448
