Saved path: barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, florist, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store : 46016
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, craft_shop, bookstore, burger_joint, cafe, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop : 48267
Saved path: pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, gym, pizzeria, craft_shop, florist, music_store : 45596
Saved path: salon, bakery, pet_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, pizzeria, music_store, party_store : 48042
Saved path: toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, bank, pizzeria, dentist, burger_joint : 50865
Saved path: bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, music_store, florist, craft_shop, pizzeria, gym, burger_joint : 42714
Saved path: bike_shop, salon, jewelry_store, hardware_store, burger_joint, bookstore, pizzeria, florist, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store : 35687
Saved path: bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, pizzeria, craft_shop, bank, florist, music_store, pharmacy, barber_shop : 45829
Saved path: gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, music_store, florist, craft_shop, dentist, clothing_store, toy_store, tech_shop, bookstore, burger_joint : 43144
Saved path: gelateria, bank, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store : 50134
Saved path: toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, gelateria, party_store, hardware_store, gym, burger_joint, bookstore, dentist, grocery_store, tech_shop : 40557
Saved path: barber_shop, jewelry_store, bakery, bike_shop, hardware_store, gym, bank, pizzeria, bookstore, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store : 30375
Saved path: clothing_store, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, burger_joint, bookstore, florist, bank, craft_shop, dentist, cafe : 42293
Saved path: noodle_house, tech_shop, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store : 36819
Saved path: florist, bank, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store : 44790
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, dentist, pizzeria, florist, pharmacy, party_store, salon, bakery, pet_store : 49595
Saved path: bakery, pet_store, bike_shop, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, party_store, barber_shop : 45346
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, hardware_store, gym, craft_shop, pizzeria : 39938
Saved path: music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, bank : 51826
Saved path: toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, florist, pizzeria, bookstore, cafe, tech_shop : 41979
Saved path: noodle_house, tech_shop, clothing_store, cafe, pizzeria, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store : 44751
Saved path: bike_shop, salon, pharmacy, gelateria, florist, pizzeria, dentist, cafe, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 48626
Saved path: gym, hardware_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, florist, bank, pizzeria, bookstore, burger_joint, noodle_house, toy_store : 44264
Saved path: noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop, gym, burger_joint : 41654
Saved path: pet_store, bike_shop, gelateria, florist, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, tech_shop, grocery_store, toy_store, barber_shop, bakery : 47121
Saved path: pet_store, bike_shop, hardware_store, gym, toy_store, burger_joint, cafe, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, bakery : 47752
Saved path: hardware_store, gym, toy_store, tech_shop, cafe, dentist, pizzeria, florist, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store : 49365
Saved path: grocery_store, cafe, pizzeria, craft_shop, florist, gelateria, party_store, salon, bike_shop, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 40714
Saved path: barber_shop, bakery, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, dentist, craft_shop, pizzeria, bank, florist, gelateria, pharmacy, party_store : 39683
Saved path: cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, hardware_store, gym, burger_joint : 47796
Saved path: barber_shop, jewelry_store, bike_shop, bakery, music_store, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 45022
Saved path: music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, gym, pizzeria, bank, florist : 34571
Saved path: dentist, craft_shop, pizzeria, bank, gelateria, music_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, burger_joint : 53712
Saved path: cafe, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist : 39236
Saved path: grocery_store, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, pizzeria, bookstore, burger_joint, tech_shop : 46191
Saved path: noodle_house, tech_shop, cafe, burger_joint, hardware_store, gym, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store : 35323
Saved path: pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, bike_shop, bakery, gelateria, music_store, florist, bank : 39034
Saved path: music_store, pharmacy, party_store, bakery, pet_store, jewelry_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank : 47609
Saved path: florist, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop : 36702
Saved path: hardware_store, burger_joint, cafe, grocery_store, noodle_house, toy_store, gym, pizzeria, craft_shop, music_store, party_store, jewelry_store, salon, bakery, pet_store : 45932
Saved path: toy_store, clothing_store, grocery_store, tech_shop, bank, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 47393
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, gym, pizzeria, craft_shop, florist, pharmacy, party_store, bakery, pet_store, bike_shop : 44420
Saved path: pet_store, bakery, salon, barber_shop, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store : 46665
Saved path: dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, bakery, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe : 35090
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, pizzeria, dentist, grocery_store : 43599
Saved path: bakery, pet_store, music_store, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon : 52605
Saved path: noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, gelateria, florist, bank, pizzeria, dentist, cafe, burger_joint : 41770
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop, pharmacy, gelateria, florist, craft_shop, cafe : 46100
Saved path: dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, music_store, gelateria, bank, pizzeria, craft_shop : 45085
Saved path: dentist, cafe, bookstore, bank, gelateria, pet_store, bakery, salon, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 48502
Saved path: bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop : 31640
Saved path: bike_shop, pharmacy, gelateria, florist, bank, pizzeria, dentist, cafe, burger_joint, gym, toy_store, barber_shop, jewelry_store, bakery, pet_store : 49596
Saved path: grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, craft_shop, dentist : 46072
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, bookstore, gym, craft_shop, bank, music_store, gelateria, pharmacy, bakery : 48133
Saved path: barber_shop, party_store, pharmacy, music_store, bank, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery : 51378
Saved path: salon, bike_shop, bakery, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, party_store, jewelry_store : 38125
