Saved path: florist, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop : 40414
Saved path: toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, florist, music_store, pharmacy, party_store, bike_shop, salon, jewelry_store, gym : 35421
Saved path: bank, florist, gelateria, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, grocery_store, dentist, burger_joint, bookstore, pizzeria : 50627
Saved path: bookstore, pizzeria, craft_shop, bank, florist, gym, hardware_store, party_store, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, burger_joint : 44025
Saved path: salon, pet_store, bakery, jewelry_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, pharmacy : 47665
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, bank, craft_shop, gym, bookstore, cafe, noodle_house, barber_shop, jewelry_store, bakery : 46864
Saved path: bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, bank : 47184
Saved path: bakery, barber_shop, jewelry_store, party_store, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, hardware_store, pet_store : 49511
Saved path: pet_store, bakery, salon, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store : 44269
Saved path: bakery, barber_shop, party_store, gelateria, bank, pizzeria, dentist, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bike_shop, pet_store : 49907
Saved path: tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, grocery_store, clothing_store : 31854
Saved path: pizzeria, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, craft_shop : 34195
Saved path: bakery, salon, jewelry_store, hardware_store, toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, florist, gelateria, pharmacy, party_store, pet_store : 46235
Saved path: toy_store, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, bank, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop : 38808
Saved path: bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, gym, hardware_store, salon, bakery, pharmacy, gelateria : 35903
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 36895
Saved path: pharmacy, gelateria, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store, bakery, salon : 44754
Saved path: barber_shop, jewelry_store, pharmacy, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bakery : 51232
Saved path: cafe, bookstore, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, party_store, music_store, pizzeria, craft_shop, dentist : 51947
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery : 46839
Saved path: bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, music_store : 39499
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, bank, florist, gelateria, party_store : 36825
Saved path: bike_shop, party_store, gelateria, music_store, bank, craft_shop, dentist, bookstore, pizzeria, gym, toy_store, barber_shop, jewelry_store, bakery, pet_store : 52981
Saved path: bookstore, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, hardware_store, gym, pizzeria, craft_shop, dentist : 43708
Saved path: barber_shop, bakery, salon, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store : 40400
Saved path: salon, party_store, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, bakery, pet_store : 43179
Saved path: bakery, pharmacy, music_store, florist, bank, craft_shop, pizzeria, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store : 42143
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, party_store, pharmacy, music_store, craft_shop, dentist, grocery_store : 37854
Saved path: tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house : 38363
Saved path: noodle_house, burger_joint, cafe, bookstore, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store : 40568
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, gelateria, pharmacy, party_store, bakery : 42871
Saved path: jewelry_store, salon, bike_shop, pet_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, gelateria : 43905
Saved path: gym, toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, salon, pet_store, bakery : 48466
Saved path: bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, pizzeria, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, hardware_store, barber_shop : 36341
Saved path: florist, bank, gym, burger_joint, cafe, bookstore, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store : 46194
Saved path: pet_store, bike_shop, party_store, pharmacy, craft_shop, pizzeria, gym, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery : 44203
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, music_store, gelateria, bike_shop, jewelry_store, hardware_store, gym : 44066
Saved path: cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, pizzeria, dentist, grocery_store : 38017
Saved path: gym, hardware_store, barber_shop, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, dentist, clothing_store, grocery_store, cafe, bookstore : 40613
Saved path: music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint, gym, pizzeria, craft_shop : 44441
Saved path: barber_shop, jewelry_store, bakery, bike_shop, gelateria, music_store, florist, bank, gym, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store : 44742
Saved path: hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, gelateria, party_store, salon, jewelry_store : 38324
Saved path: hardware_store, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, music_store, bank, pizzeria, gym : 39455
