Saved path: party_store, pharmacy, bank, florist, pet_store, gym, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop : 67370
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, gym, hardware_store : 57864
Saved path: party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, music_store : 49603
Saved path: noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, pet_store, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store : 67815
Saved path: florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria : 57112
Saved path: florist, bank, gelateria, bike_shop, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym : 60020
Saved path: pharmacy, party_store, bakery, barber_shop, salon, toy_store, hardware_store, gym, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store : 59947
Saved path: toy_store, burger_joint, bookstore, gym, bakery, bike_shop, jewelry_store, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, salon : 63235
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, noodle_house, toy_store : 58230
Saved path: bookstore, cafe, dentist, pizzeria, florist, music_store, bank, gelateria, pet_store, gym, hardware_store, party_store, jewelry_store, barber_shop, noodle_house : 71359
Saved path: pet_store, gelateria, bank, music_store, bike_shop, party_store, barber_shop, salon, toy_store, hardware_store, bookstore, clothing_store, tech_shop, pizzeria, craft_shop : 69110
Saved path: bank, gelateria, florist, gym, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house, salon, jewelry_store, bike_shop, pharmacy, music_store : 66362
Saved path: burger_joint, hardware_store, party_store, bakery, barber_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, cafe, bookstore : 65059
Saved path: party_store, jewelry_store, bike_shop, music_store, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, gym : 68023
Saved path: barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, gelateria, florist, craft_shop, dentist, bookstore, clothing_store, toy_store : 61816
Saved path: bakery, bike_shop, jewelry_store, hardware_store, florist, craft_shop, dentist, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop : 55724
Saved path: party_store, jewelry_store, music_store, florist, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, bakery : 54878
Saved path: jewelry_store, party_store, hardware_store, gym, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop : 58169
Saved path: jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, pet_store, florist, bank, pharmacy, bakery : 66759
Saved path: bank, pet_store, craft_shop, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, gym, florist, gelateria : 65500
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store : 66426
Saved path: bank, music_store, florist, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, gelateria : 66038
Saved path: salon, toy_store, clothing_store, pizzeria, dentist, burger_joint, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop : 61162
Saved path: bank, gelateria, bakery, jewelry_store, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, gym, pet_store : 62974
Saved path: hardware_store, salon, toy_store, grocery_store, tech_shop, pizzeria, craft_shop, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, gym : 66454
Saved path: craft_shop, gym, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, party_store, gelateria, bank, music_store, florist, pet_store : 61241
Saved path: noodle_house, clothing_store, grocery_store, burger_joint, gym, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, party_store, barber_shop, salon, toy_store : 56743
Saved path: bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, dentist : 60074
Saved path: barber_shop, salon, hardware_store, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bike_shop, party_store, bakery : 55466
Saved path: noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, grocery_store, bookstore, burger_joint, toy_store : 67461
Saved path: salon, toy_store, burger_joint, gym, hardware_store, party_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store : 59643
Saved path: gelateria, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, bank : 61850
