Saved path: toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop, jewelry_store, hardware_store, gym : 41343
Saved path: barber_shop, bakery, salon, party_store, pharmacy, music_store, craft_shop, dentist, cafe, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store : 37908
Saved path: clothing_store, grocery_store, cafe, bank, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 44002
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, party_store, gelateria, bank, dentist, cafe, grocery_store, clothing_store : 39069
Saved path: toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, bank, gelateria, party_store, bakery, bike_shop, salon, jewelry_store, barber_shop : 37578
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, pizzeria, craft_shop, bank, gelateria, music_store, bakery, pet_store, bike_shop, salon : 43984
Saved path: jewelry_store, barber_shop, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, bank, music_store, pharmacy, party_store, bakery, pet_store, bike_shop : 46851
Saved path: bakery, pharmacy, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 46392
Saved path: gelateria, jewelry_store, bakery, pet_store, gym, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, bank, florist : 48048
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, barber_shop, bakery, salon : 39155
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, bookstore, tech_shop, noodle_house : 46283
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, gelateria, party_store, jewelry_store, bakery, pet_store, gym, toy_store : 47976
Saved path: gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, clothing_store, toy_store : 42925
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, bank : 36764
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, gelateria, party_store, jewelry_store, salon, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop : 47048
Saved path: bank, florist, pizzeria, gym, hardware_store, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist : 37650
Saved path: cafe, burger_joint, bookstore, florist, craft_shop, gym, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store : 32611
Saved path: gym, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 43633
Saved path: music_store, gelateria, party_store, salon, bakery, pet_store, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, craft_shop, florist : 43504
Saved path: barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, florist, pizzeria, gym, hardware_store, cafe, grocery_store, clothing_store, noodle_house, toy_store : 34325
Saved path: pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, gelateria, music_store : 38088
Saved path: noodle_house, toy_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, florist, bank, craft_shop, dentist, cafe, bookstore, tech_shop : 43387
Saved path: craft_shop, bookstore, burger_joint, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, gelateria, music_store : 45228
Saved path: cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, florist, bank, craft_shop : 41031
Saved path: gym, hardware_store, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, music_store, gelateria, bank, craft_shop : 38528
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, gym, music_store, party_store, salon, bike_shop, pet_store, bakery : 48010
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria, music_store, gelateria, pharmacy, salon, pet_store : 48299
Saved path: party_store, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, bike_shop, bakery : 40275
Saved path: gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, bank : 35243
Saved path: toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, pizzeria, craft_shop, dentist, cafe, tech_shop : 41178
Saved path: gym, hardware_store, pet_store, salon, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store : 45594
