Saved path: music_store, gelateria, pharmacy, pet_store, bakery, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank : 46143
Saved path: tech_shop, burger_joint, bakery, jewelry_store, party_store, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house : 29180
Saved path: tech_shop, burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria, music_store, craft_shop, dentist, clothing_store, toy_store, noodle_house : 41776
Saved path: barber_shop, bakery, salon, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy : 37329
Saved path: hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, bank, florist, party_store, bike_shop, bakery, barber_shop : 40692
Saved path: salon, party_store, pharmacy, music_store, florist, bank, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, gym, bakery, bike_shop : 38924
Saved path: toy_store, barber_shop, jewelry_store, bakery, salon, party_store, gelateria, music_store, craft_shop, pizzeria, gym, hardware_store, noodle_house, tech_shop, clothing_store : 37277
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, gym, florist, gelateria, party_store : 44407
Saved path: pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store, bakery, pharmacy, music_store, gelateria, bank, craft_shop : 48410
Saved path: dentist, cafe, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, bank, pizzeria : 39952
Saved path: party_store, gelateria, bank, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, bakery, pet_store, bike_shop, salon : 44338
Saved path: gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, cafe, bookstore, pizzeria, craft_shop, bank, florist : 39139
Saved path: burger_joint, cafe, dentist, bookstore, pizzeria, bank, florist, music_store, gelateria, party_store, bakery, hardware_store, toy_store, noodle_house, tech_shop : 34361
Saved path: craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, jewelry_store, pet_store, party_store, pharmacy, gelateria, music_store : 42974
Saved path: barber_shop, bakery, salon, pharmacy, music_store, gelateria, pizzeria, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store : 43675
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, florist, gym, pet_store : 39597
