Saved path: pharmacy, music_store, florist, bank, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, party_store : 44878
Saved path: dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, florist, craft_shop : 41295
Saved path: gelateria, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, craft_shop, florist : 42422
Saved path: music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, burger_joint, gym, hardware_store : 48560
Saved path: jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, bank, gym, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, barber_shop : 36816
Saved path: toy_store, noodle_house, tech_shop, burger_joint, cafe, pizzeria, gelateria, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 44056
Saved path: pet_store, jewelry_store, party_store, gelateria, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, bike_shop : 48895
Saved path: salon, party_store, pharmacy, music_store, bank, craft_shop, bookstore, tech_shop, grocery_store, clothing_store, toy_store, jewelry_store, bakery, pet_store, bike_shop : 43345
Saved path: toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, bank, gelateria, music_store, bike_shop, pet_store, bakery, barber_shop : 52710
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, bank, gelateria, pharmacy, salon, bike_shop, pet_store, bakery : 43001
Saved path: clothing_store, grocery_store, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bakery, gym, toy_store, noodle_house, tech_shop : 33857
Saved path: craft_shop, gym, hardware_store, salon, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria : 27058
Saved path: pet_store, bakery, salon, jewelry_store, pharmacy, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym : 47665
Saved path: craft_shop, florist, gelateria, party_store, salon, bike_shop, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria : 38480
Saved path: music_store, pharmacy, salon, bike_shop, bakery, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, bank, florist : 36929
Saved path: pharmacy, salon, bakery, barber_shop, hardware_store, gym, toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store : 41712
