Saved path: bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop : 69461
Saved path: bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, craft_shop, music_store, bank, bakery : 66558
Saved path: pizzeria, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, party_store, gelateria, bank, music_store : 66359
Saved path: party_store, bank, florist, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store : 70518
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store : 58877
Saved path: florist, gelateria, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store : 56927
Saved path: gym, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, hardware_store : 54701
Saved path: party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, florist, bank : 65241
Saved path: pet_store, florist, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 51318
Saved path: party_store, jewelry_store, bike_shop, bakery, bank, pet_store, craft_shop, gym, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, hardware_store : 64508
Saved path: noodle_house, salon, hardware_store, party_store, bike_shop, pharmacy, bank, music_store, florist, pet_store, pizzeria, dentist, cafe, burger_joint, grocery_store : 65736
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, craft_shop, dentist, bookstore, tech_shop, clothing_store, salon, hardware_store, gym : 67885
Saved path: bank, florist, pet_store, gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy : 69484
