Saved path: bike_shop, party_store, pharmacy, music_store, florist, bank, pizzeria, dentist, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store : 47980
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, bank, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, hardware_store, toy_store : 46879
Saved path: pet_store, bike_shop, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, pharmacy, party_store, barber_shop, bakery : 44871
Saved path: tech_shop, noodle_house, toy_store, gym, bakery, pet_store, jewelry_store, party_store, pharmacy, florist, bank, pizzeria, bookstore, grocery_store, clothing_store : 41228
Saved path: bakery, party_store, pharmacy, music_store, craft_shop, dentist, grocery_store, bookstore, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store : 49504
Saved path: barber_shop, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, salon, pet_store, bakery, jewelry_store : 47535
Saved path: dentist, craft_shop, gym, florist, music_store, gelateria, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe : 50711
Saved path: bank, gelateria, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria : 48728
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, gelateria, florist, bank, pizzeria, dentist : 49114
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, jewelry_store : 36198
Saved path: florist, craft_shop, gym, hardware_store, salon, bakery, pet_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria : 42444
Saved path: dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, gym, pizzeria, bank : 42962
Saved path: bank, craft_shop, pizzeria, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, pharmacy, gelateria, music_store, florist : 43018
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, salon, bike_shop, pet_store : 46996
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, gym, pizzeria, bank, florist, gelateria, bakery, pet_store, salon : 49082
Saved path: noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store : 47596
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, gym, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 39397
Saved path: pizzeria, craft_shop, dentist, cafe, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, pharmacy, gelateria : 38921
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, dentist, pizzeria, bank : 47955
Saved path: jewelry_store, bike_shop, pet_store, bakery, gelateria, bank, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop : 48415
Saved path: bookstore, pizzeria, craft_shop, music_store, gelateria, party_store, salon, bike_shop, jewelry_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe : 36727
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, bank, gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym : 38129
Saved path: grocery_store, dentist, florist, gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe : 36709
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, pizzeria, florist, music_store, gelateria, bike_shop, pet_store, bakery : 50024
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop : 46117
Saved path: party_store, gelateria, music_store, craft_shop, cafe, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon : 48059
Saved path: music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, burger_joint, gym, pizzeria, bank, florist : 45268
Saved path: hardware_store, jewelry_store, bike_shop, salon, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym : 35616
Saved path: florist, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, cafe, dentist : 42469
Saved path: party_store, pharmacy, gelateria, bank, dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, bakery : 38013
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, dentist, gym, pizzeria, bank : 52055
Saved path: dentist, craft_shop, bank, florist, gym, hardware_store, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore : 47021
Saved path: party_store, florist, bank, craft_shop, gym, hardware_store, burger_joint, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon : 33753
Saved path: bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store, dentist, craft_shop, pizzeria : 40666
Saved path: bakery, salon, party_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 34029
Saved path: pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, gym : 37074
Saved path: party_store, pharmacy, gelateria, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, jewelry_store, bike_shop, pet_store : 48902
Saved path: grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, dentist : 34359
Saved path: party_store, salon, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, bookstore, craft_shop, bank, music_store : 46988
Saved path: bakery, pet_store, barber_shop, party_store, pharmacy, music_store, gelateria, pizzeria, craft_shop, dentist, noodle_house, toy_store, gym, hardware_store, salon : 51933
Saved path: bookstore, pizzeria, gelateria, pharmacy, party_store, salon, bike_shop, bakery, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist : 38008
Saved path: pharmacy, music_store, florist, bank, bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, party_store : 34384
Saved path: clothing_store, grocery_store, dentist, craft_shop, bank, florist, pharmacy, barber_shop, bakery, pet_store, hardware_store, burger_joint, bookstore, noodle_house, toy_store : 48441
Saved path: pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, pizzeria, bank, florist, music_store : 33200
Saved path: gelateria, florist, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, party_store : 38623
Saved path: gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, craft_shop, florist, music_store : 44987
