Saved path: pharmacy, gelateria, bank, pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon : 33760
Saved path: bike_shop, music_store, gelateria, bank, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, pet_store : 49012
Saved path: noodle_house, tech_shop, clothing_store, cafe, gym, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store : 44349
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, bakery, barber_shop : 34298
Saved path: burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, music_store, bank, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop : 38510
Saved path: pizzeria, craft_shop, bank, florist, gelateria, barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, grocery_store, bookstore : 45808
Saved path: bookstore, bank, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe : 40252
Saved path: gym, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, toy_store : 30474
Saved path: salon, party_store, pharmacy, gelateria, gym, craft_shop, pizzeria, bookstore, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, bike_shop : 37166
Saved path: dentist, grocery_store, clothing_store, tech_shop, toy_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, bookstore, cafe : 46505
Saved path: florist, bank, craft_shop, bookstore, cafe, tech_shop, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, party_store, gelateria, music_store : 42391
Saved path: toy_store, noodle_house, clothing_store, cafe, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym : 37932
Saved path: florist, bank, bookstore, cafe, grocery_store, clothing_store, noodle_house, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, pharmacy : 45829
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, hardware_store, gym, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, dentist, bank : 48517
Saved path: gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, florist : 32382
Saved path: bookstore, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank : 40218
Saved path: noodle_house, tech_shop, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, craft_shop, music_store, pharmacy, party_store, bakery, barber_shop, toy_store : 40678
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, bike_shop, party_store : 32289
Saved path: hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, bank, gelateria, pharmacy, party_store, salon, bakery, pet_store : 43521
Saved path: music_store, gelateria, party_store, bike_shop, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, pizzeria, craft_shop, florist : 36406
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, florist, bank, pizzeria, bookstore, grocery_store : 46425
Saved path: pharmacy, gelateria, bank, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery, salon, party_store : 34175
Saved path: party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, dentist, bookstore, pizzeria, gym, bank, florist, music_store : 52665
Saved path: bank, music_store, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, pizzeria : 47617
Saved path: salon, jewelry_store, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store : 49229
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist, music_store, party_store, bike_shop, pet_store, bakery : 45025
Saved path: pet_store, bakery, salon, party_store, music_store, bank, gym, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, barber_shop : 51415
Saved path: pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, bakery, bike_shop, gelateria, music_store, florist, bank, craft_shop : 38395
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store : 48083
Saved path: gym, pizzeria, craft_shop, bank, florist, music_store, party_store, salon, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, hardware_store : 37050
Saved path: bakery, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria, bank, gelateria, party_store, salon, bike_shop : 42272
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, florist, pizzeria, dentist, burger_joint, noodle_house, tech_shop, clothing_store : 50434
Saved path: burger_joint, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, bank, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house : 41793
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, gym, craft_shop, bank, music_store, pharmacy, party_store, pet_store, bakery, jewelry_store : 46499
Saved path: grocery_store, dentist, craft_shop, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, tech_shop, bookstore, cafe : 53056
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, bookstore, bank, gelateria, pharmacy, salon, bike_shop, pet_store, bakery : 44540
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, bank, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery : 41053
Saved path: florist, pizzeria, bookstore, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, barber_shop, bakery, salon, party_store, gelateria : 41752
Saved path: bank, florist, music_store, gelateria, party_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, cafe, bookstore, craft_shop : 46291
Saved path: pizzeria, bank, florist, music_store, pharmacy, salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, clothing_store, cafe, dentist : 40914
Saved path: bakery, pet_store, bike_shop, party_store, gelateria, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store : 49145
Saved path: toy_store, noodle_house, tech_shop, clothing_store, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, pet_store, bakery, jewelry_store, hardware_store : 43196
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, gelateria, bakery, bike_shop, jewelry_store, hardware_store, toy_store : 38724
Saved path: bookstore, pizzeria, bank, music_store, party_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store : 45242
Saved path: pharmacy, salon, bakery, pet_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, toy_store, gym, pizzeria, craft_shop, music_store, gelateria : 43726
Saved path: burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, music_store, bank, pizzeria, gym, hardware_store : 36722
Saved path: grocery_store, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, music_store, florist, dentist : 51509
Saved path: grocery_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, pet_store, bike_shop, salon, party_store, pharmacy, music_store, florist, pizzeria, dentist : 50419
Saved path: gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, bank : 35445
Saved path: florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, gelateria, music_store : 48013
Saved path: cafe, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, salon, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore : 38343
Saved path: craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, gelateria, music_store : 42711
