Saved path: florist, craft_shop, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop, gelateria : 37578
Saved path: tech_shop, grocery_store, toy_store, hardware_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint : 41026
Saved path: party_store, pharmacy, music_store, florist, bank, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym, pet_store, bakery, jewelry_store : 44397
Saved path: gym, toy_store, clothing_store, tech_shop, bookstore, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 43424
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, party_store : 33399
Saved path: barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore, cafe, clothing_store, toy_store : 35578
Saved path: bank, pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym : 35029
Saved path: jewelry_store, salon, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, bank, music_store, gelateria, pharmacy : 39944
Saved path: clothing_store, grocery_store, cafe, bookstore, florist, music_store, party_store, salon, bakery, pet_store, hardware_store, gym, burger_joint, tech_shop, toy_store : 43096
Saved path: barber_shop, hardware_store, gym, toy_store, clothing_store, tech_shop, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, bike_shop, bakery : 38758
Saved path: dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, florist, bank, gym, hardware_store, burger_joint : 41368
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, gym, florist, gelateria : 41202
Saved path: toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, salon, bakery, hardware_store, burger_joint, tech_shop, noodle_house : 32748
Saved path: pizzeria, gym, hardware_store, burger_joint, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, gelateria, music_store, bank : 45935
Saved path: craft_shop, dentist, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank : 40280
Saved path: noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, party_store, gelateria, music_store, bank, craft_shop, bookstore, cafe, clothing_store : 44867
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, florist, bank, pizzeria, dentist : 39031
Saved path: gym, craft_shop, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, bookstore, burger_joint : 38893
Saved path: salon, bike_shop, bakery, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 39089
Saved path: noodle_house, toy_store, hardware_store, barber_shop, jewelry_store, salon, bakery, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store : 37330
