Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, burger_joint, gym, bank, florist, music_store, salon, bakery, jewelry_store : 40105
Saved path: bike_shop, salon, music_store, bank, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 46639
Saved path: bookstore, dentist, grocery_store, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, bank, craft_shop, pizzeria : 54520
Saved path: gelateria, party_store, salon, bike_shop, bakery, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, florist : 37238
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, music_store, pharmacy, party_store, barber_shop, bakery : 40447
Saved path: noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, hardware_store, pharmacy, gelateria, bakery, pet_store, jewelry_store, barber_shop : 50354
Saved path: clothing_store, grocery_store, tech_shop, noodle_house, gym, pizzeria, bank, florist, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store : 43787
Saved path: toy_store, noodle_house, tech_shop, burger_joint, pet_store, bakery, jewelry_store, party_store, gelateria, music_store, florist, pizzeria, bookstore, cafe, clothing_store : 42791
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, hardware_store, burger_joint, bookstore, pizzeria, craft_shop, dentist, grocery_store, tech_shop, toy_store : 49506
Saved path: burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store : 36133
Saved path: bike_shop, bakery, barber_shop, party_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, salon : 39484
Saved path: cafe, burger_joint, gym, craft_shop, music_store, gelateria, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, tech_shop, clothing_store, grocery_store : 46473
Saved path: toy_store, noodle_house, tech_shop, cafe, burger_joint, hardware_store, gym, pizzeria, music_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop : 47434
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, hardware_store, toy_store : 40076
Saved path: hardware_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, gym, toy_store, grocery_store, tech_shop, noodle_house : 41560
Saved path: gym, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, craft_shop, florist : 40883
Saved path: barber_shop, bakery, salon, party_store, gelateria, florist, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store : 37597
Saved path: dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, salon, bakery, pet_store, gym, toy_store, noodle_house, grocery_store : 45496
Saved path: florist, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, hardware_store, gym : 36727
Saved path: dentist, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, barber_shop, pharmacy, gelateria, music_store, bank : 45365
Saved path: bakery, bike_shop, jewelry_store, party_store, music_store, florist, bank, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym : 36496
Saved path: florist, pizzeria, gym, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 45098
Saved path: dentist, craft_shop, florist, gelateria, party_store, salon, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe : 46124
Saved path: jewelry_store, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, party_store, bakery, pet_store, bike_shop : 41450
Saved path: bookstore, cafe, dentist, craft_shop, gelateria, party_store, salon, bike_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 39224
Saved path: grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house : 35640
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, party_store : 48822
Saved path: gelateria, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, barber_shop, party_store : 53349
Saved path: cafe, bookstore, florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 42603
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, music_store, pharmacy, barber_shop, bakery, pet_store, hardware_store, gym, toy_store : 47718
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, gym, craft_shop, bank, florist, gelateria, bike_shop, bakery : 35923
Saved path: bike_shop, pharmacy, music_store, florist, craft_shop, gym, burger_joint, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 46948
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, salon, party_store, gelateria, florist, bank, craft_shop, dentist, cafe, burger_joint, tech_shop : 43977
Saved path: hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, pizzeria, bank, florist, music_store, gelateria, party_store, bike_shop, bakery, barber_shop : 38969
Saved path: bank, pizzeria, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria : 39556
Saved path: pharmacy, music_store, florist, gym, pizzeria, craft_shop, dentist, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, salon, party_store : 39531
