Saved path: pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, bakery, bank : 63498
Saved path: jewelry_store, party_store, pharmacy, music_store, florist, pet_store, pizzeria, cafe, bookstore, burger_joint, gym, toy_store, noodle_house, barber_shop, bike_shop : 64476
Saved path: gym, craft_shop, music_store, bank, pharmacy, party_store, barber_shop, salon, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store : 63127
Saved path: grocery_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, florist, music_store, gelateria, bakery, party_store, bike_shop, barber_shop, toy_store : 59720
Saved path: jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, pet_store, pharmacy, bakery, bike_shop : 59196
Saved path: grocery_store, salon, barber_shop, jewelry_store, bike_shop, hardware_store, gym, pet_store, gelateria, music_store, florist, pizzeria, dentist, cafe, bookstore : 66245
Saved path: gym, bakery, bike_shop, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, florist : 56696
Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, dentist, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store : 57253
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, toy_store, salon, barber_shop : 61205
Saved path: pet_store, gelateria, music_store, pharmacy, party_store, gym, toy_store, salon, clothing_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop : 59091
Saved path: salon, barber_shop, jewelry_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, toy_store : 61682
Saved path: salon, barber_shop, bakery, party_store, bike_shop, music_store, florist, pet_store, craft_shop, dentist, tech_shop, cafe, burger_joint, hardware_store, toy_store : 57679
Saved path: dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store, jewelry_store, music_store, florist, pet_store, gym, craft_shop : 61621
Saved path: pet_store, gym, craft_shop, dentist, cafe, bookstore, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, bank, music_store, florist : 60966
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, cafe : 61509
Saved path: dentist, cafe, bookstore, burger_joint, gym, pet_store, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, pizzeria : 64696
Saved path: gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 59306
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, pet_store, florist, music_store, bank : 70923
Saved path: jewelry_store, hardware_store, salon, toy_store, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, gelateria, music_store, bakery, bike_shop : 64032
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, florist, craft_shop, bookstore, cafe, tech_shop, grocery_store : 62282
Saved path: jewelry_store, music_store, bank, florist, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bakery, party_store : 70969
Saved path: pet_store, pizzeria, tech_shop, grocery_store, cafe, burger_joint, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist : 69082
Saved path: bank, pharmacy, bakery, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pet_store, florist, gelateria : 60532
Saved path: craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, party_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore, cafe, dentist : 66082
Saved path: toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, bank, gelateria, bike_shop, party_store, hardware_store, salon : 60222
Saved path: clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, gym, hardware_store, bookstore : 62157
Saved path: bakery, bike_shop, party_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, pet_store, bank, gelateria, pharmacy : 57871
Saved path: pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria : 59503
Saved path: pizzeria, florist, bank, jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist : 69733
Saved path: gelateria, music_store, florist, gym, pizzeria, dentist, bookstore, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 61369
Saved path: pet_store, craft_shop, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, jewelry_store, pharmacy, music_store, bank, florist : 62119
