Saved path: tech_shop, clothing_store, toy_store, gym, bakery, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint : 34783
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, hardware_store, gym, toy_store, noodle_house : 32177
Saved path: craft_shop, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist : 48824
Saved path: salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, florist, music_store, bakery, pet_store : 49055
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, gym, hardware_store : 32473
Saved path: bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, toy_store, hardware_store, barber_shop, bakery, salon, pharmacy, music_store, florist : 35794
Saved path: party_store, pharmacy, gelateria, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bike_shop : 40060
Saved path: toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop : 38032
Saved path: tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, dentist, burger_joint : 48377
Saved path: gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, music_store, pharmacy, jewelry_store, salon, bakery : 34188
Saved path: burger_joint, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, florist, pizzeria, cafe : 42946
Saved path: pharmacy, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon : 41915
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, pharmacy, barber_shop, bakery, hardware_store, burger_joint, tech_shop, toy_store : 37770
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, dentist, craft_shop, pizzeria, bank : 45533
Saved path: pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, party_store, gelateria : 45620
Saved path: craft_shop, gym, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, burger_joint, bookstore, dentist : 50880
Saved path: party_store, pharmacy, gelateria, florist, gym, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, bakery, bike_shop, salon : 38102
Saved path: grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, barber_shop, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist : 40062
Saved path: party_store, florist, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, salon, bakery, pet_store : 39674
Saved path: cafe, bookstore, pizzeria, bank, florist, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint : 33271
Saved path: bookstore, dentist, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 39112
Saved path: music_store, gelateria, bank, craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 38514
Saved path: dentist, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop : 43861
Saved path: bakery, jewelry_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, pet_store : 39694
Saved path: gelateria, florist, pizzeria, gym, burger_joint, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 41674
Saved path: pharmacy, party_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, bank, gelateria : 43265
Saved path: toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop : 40177
Saved path: party_store, pharmacy, music_store, florist, bank, bookstore, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, salon : 45453
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, gelateria, music_store, pizzeria, craft_shop, dentist, tech_shop : 44025
