Saved path: jewelry_store, barber_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, gym, craft_shop, bank, music_store, pharmacy, party_store, bakery, salon : 41094
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, bank, pizzeria, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 43884
Saved path: music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, dentist, bookstore, pizzeria, gym, bank, florist : 52666
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, bank, gym, bookstore, cafe, dentist : 49738
Saved path: dentist, craft_shop, pizzeria, florist, pharmacy, party_store, jewelry_store, salon, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store : 47232
Saved path: toy_store, noodle_house, clothing_store, cafe, bookstore, gym, craft_shop, bank, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop : 45005
Saved path: cafe, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, gelateria, music_store, florist, bank, gym, pizzeria, craft_shop, dentist : 42756
Saved path: grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, bank, gelateria, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store : 44094
Saved path: burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, hardware_store, gym, pizzeria, bookstore : 43410
Saved path: bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, pharmacy, bank, craft_shop : 37881
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, salon : 40229
Saved path: dentist, craft_shop, florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore : 36967
Saved path: toy_store, gym, hardware_store, jewelry_store, bike_shop, salon, pharmacy, music_store, florist, craft_shop, dentist, cafe, bookstore, tech_shop, clothing_store : 42397
Saved path: pharmacy, music_store, bank, craft_shop, pizzeria, gym, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bakery, pet_store, salon : 45132
Saved path: pizzeria, craft_shop, florist, pharmacy, bike_shop, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore : 49781
Saved path: pet_store, party_store, gelateria, florist, bank, gym, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 49429
Saved path: bank, florist, music_store, pharmacy, bike_shop, pet_store, bakery, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop : 47755
Saved path: gym, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store : 35636
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, party_store, bike_shop, pet_store, bakery, jewelry_store, toy_store : 41462
Saved path: dentist, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, music_store, gelateria, bank, craft_shop, pizzeria, bookstore : 42168
Saved path: bakery, bike_shop, hardware_store, burger_joint, noodle_house, clothing_store, cafe, bookstore, bank, florist, music_store, gelateria, pharmacy, party_store, barber_shop : 37747
Saved path: music_store, gelateria, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist : 43592
Saved path: pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, toy_store, clothing_store, tech_shop, bookstore : 34243
