Saved path: florist, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy : 42794
Saved path: florist, pizzeria, craft_shop, dentist, cafe, tech_shop, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy : 43967
Saved path: bakery, gym, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, bank, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store : 47151
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, gym, bank, music_store, gelateria, pharmacy, party_store, pet_store : 44310
Saved path: bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy : 43045
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, bookstore, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 43422
Saved path: gym, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, bank, craft_shop : 45609
Saved path: dentist, florist, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 50873
Saved path: noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store, gelateria, music_store, bank, pizzeria, bookstore, cafe, dentist : 46292
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, gelateria, florist, bookstore, burger_joint, dentist, grocery_store, clothing_store : 47633
Saved path: gym, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, party_store, bakery, hardware_store : 37732
Saved path: salon, pharmacy, gelateria, music_store, bank, dentist, bookstore, pizzeria, gym, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 52980
Saved path: dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, jewelry_store, bike_shop, bakery, pharmacy, bank, craft_shop : 40114
Saved path: burger_joint, noodle_house, clothing_store, toy_store, gym, hardware_store, jewelry_store, pet_store, bike_shop, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore : 45507
Saved path: noodle_house, toy_store, gym, pet_store, bakery, jewelry_store, pharmacy, music_store, florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store : 49101
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, salon, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore : 42514
Saved path: bookstore, burger_joint, hardware_store, gym, florist, pharmacy, bakery, pet_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe : 49809
Saved path: cafe, dentist, craft_shop, bank, music_store, party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 38373
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, bookstore, cafe, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 42315
Saved path: bakery, salon, party_store, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym : 30054
Saved path: pet_store, bike_shop, salon, jewelry_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery : 42252
Saved path: party_store, pharmacy, gelateria, music_store, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bakery : 37954
Saved path: grocery_store, toy_store, noodle_house, burger_joint, gym, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore : 35479
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, pizzeria, gym, bank, pharmacy, party_store, salon, bakery, pet_store : 43767
Saved path: burger_joint, bookstore, cafe, dentist, craft_shop, gym, pizzeria, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop : 49550
Saved path: party_store, pharmacy, florist, bank, bookstore, dentist, grocery_store, clothing_store, noodle_house, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 48745
Saved path: pharmacy, music_store, bank, gym, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 50642
Saved path: craft_shop, pizzeria, bookstore, burger_joint, dentist, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria, music_store, florist : 41131
Saved path: gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, craft_shop, florist, gelateria, pharmacy, party_store, salon, bakery, pet_store : 40744
Saved path: bank, gym, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, music_store : 50497
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, gym, hardware_store, pharmacy, bakery, salon : 33843
Saved path: grocery_store, cafe, dentist, craft_shop, pizzeria, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 39379
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, salon, hardware_store, gym, toy_store, tech_shop, bookstore, grocery_store, dentist, craft_shop : 37779
Saved path: gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, florist : 33307
Saved path: cafe, dentist, gym, pizzeria, bank, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 38537
Saved path: craft_shop, pizzeria, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, pet_store, bike_shop, party_store, pharmacy, gelateria, florist : 43100
Saved path: grocery_store, cafe, dentist, craft_shop, pizzeria, gelateria, music_store, pharmacy, party_store, barber_shop, bakery, salon, hardware_store, burger_joint, toy_store : 40574
