Saved path: hardware_store, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, bookstore, burger_joint : 58299
Saved path: gelateria, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, gym, pet_store : 57499
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, music_store, jewelry_store, bakery, gym, toy_store, noodle_house, clothing_store : 57487
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bakery, party_store, barber_shop, toy_store, noodle_house, grocery_store : 58731
Saved path: bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, pizzeria, pet_store, florist, music_store, gelateria, pharmacy : 55637
Saved path: burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, bank, florist, hardware_store : 59595
Saved path: barber_shop, salon, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, party_store : 64165
Saved path: pizzeria, craft_shop, bookstore, burger_joint, hardware_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, cafe, dentist : 54523
Saved path: clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store, gym, burger_joint, bookstore, cafe, grocery_store : 62658
Saved path: florist, gelateria, music_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym : 55281
Saved path: craft_shop, pet_store, florist, gelateria, pharmacy, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria : 57985
Saved path: hardware_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store : 51643
Saved path: dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, bakery, pharmacy, bank, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore : 59083
Saved path: bookstore, burger_joint, gym, hardware_store, party_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 53171
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, bike_shop, pharmacy, bank, music_store, florist, pet_store, craft_shop : 55214
Saved path: dentist, pizzeria, craft_shop, gym, pet_store, florist, bank, pharmacy, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, cafe : 71020
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, hardware_store, cafe, grocery_store, clothing_store, noodle_house, toy_store : 62369
Saved path: cafe, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist : 65677
Saved path: tech_shop, dentist, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store : 56562
Saved path: bank, music_store, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, bike_shop, party_store, pharmacy, gelateria : 58803
