Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, party_store, music_store, gelateria, bank, bookstore, dentist : 52797
Saved path: jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 37653
Saved path: music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, burger_joint, pizzeria, bank, florist : 46135
Saved path: pet_store, bike_shop, party_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery : 45180
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, tech_shop, bookstore, pizzeria, craft_shop, florist : 33320
Saved path: dentist, craft_shop, bank, florist, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, grocery_store, cafe : 44703
Saved path: tech_shop, toy_store, hardware_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, bank, craft_shop, dentist, cafe, grocery_store, clothing_store : 41583
Saved path: gym, toy_store, burger_joint, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store : 40362
Saved path: bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, barber_shop : 33818
Saved path: dentist, grocery_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, bank, craft_shop, gym, pizzeria, bookstore : 42924
Saved path: bike_shop, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, bookstore, cafe, burger_joint, toy_store, hardware_store, jewelry_store, salon : 33626
Saved path: cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, bank, craft_shop, gym, burger_joint : 35544
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, pizzeria, craft_shop, music_store, party_store, bakery : 44372
Saved path: toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, bakery, pet_store, jewelry_store, barber_shop : 49385
