Saved path: toy_store, hardware_store, pet_store, bakery, salon, party_store, gelateria, florist, bank, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house : 43521
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store : 39649
Saved path: cafe, bookstore, pizzeria, gym, hardware_store, jewelry_store, party_store, bike_shop, pet_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist : 45435
Saved path: toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop : 34956
Saved path: dentist, cafe, bookstore, pizzeria, craft_shop, florist, party_store, salon, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store : 35367
Saved path: pharmacy, gelateria, florist, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store : 43149
Saved path: grocery_store, dentist, craft_shop, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop : 50291
Saved path: craft_shop, bank, florist, music_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, clothing_store, dentist, burger_joint, bookstore, pizzeria : 42561
Saved path: barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, bank, pharmacy, party_store, bike_shop, pet_store, bakery : 45866
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon, barber_shop, pharmacy, music_store, bank, bookstore, cafe, grocery_store : 46418
Saved path: pizzeria, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop : 43780
Saved path: burger_joint, jewelry_store, salon, bike_shop, party_store, gelateria, music_store, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, tech_shop : 35747
