Saved path: barber_shop, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, gym, pizzeria, craft_shop, dentist, clothing_store, tech_shop, toy_store : 40957
Saved path: gelateria, party_store, salon, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, bank, florist : 36513
Saved path: salon, bakery, barber_shop, hardware_store, toy_store, burger_joint, cafe, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store : 34521
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, gym, toy_store, noodle_house, tech_shop, hardware_store, bakery, bike_shop, salon, party_store, pharmacy : 33018
Saved path: bank, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, cafe, pizzeria : 46165
Saved path: hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, jewelry_store, salon, pet_store : 47053
Saved path: cafe, clothing_store, toy_store, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, bank, gym : 44871
Saved path: cafe, dentist, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store, tech_shop, burger_joint : 43709
Saved path: pet_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop : 43487
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop : 36567
Saved path: noodle_house, tech_shop, clothing_store, dentist, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, gym, toy_store : 45981
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, dentist : 45850
Saved path: noodle_house, toy_store, gym, craft_shop, bank, florist, music_store, salon, bike_shop, bakery, jewelry_store, hardware_store, burger_joint, cafe, grocery_store : 37100
Saved path: toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, hardware_store : 48268
Saved path: hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, florist, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, jewelry_store : 43716
Saved path: bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, bakery, pet_store, party_store, gelateria, music_store : 46437
Saved path: pizzeria, bank, florist, music_store, pharmacy, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore : 46670
Saved path: pet_store, bike_shop, hardware_store, gym, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 45038
Saved path: toy_store, noodle_house, clothing_store, dentist, burger_joint, gym, pizzeria, craft_shop, bank, gelateria, music_store, party_store, bike_shop, bakery, barber_shop : 44870
Saved path: grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, bakery, pet_store, gym, burger_joint, noodle_house, toy_store, clothing_store : 40212
Saved path: barber_shop, bakery, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, florist, gelateria, pharmacy, party_store : 38265
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, grocery_store, noodle_house, toy_store, gym, bakery, pet_store : 46178
