Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, bank, florist, music_store, pharmacy, party_store, bakery, pet_store : 42007
Saved path: hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, pizzeria, bookstore, burger_joint, dentist, clothing_store, toy_store : 52516
Saved path: grocery_store, bookstore, bank, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store : 42927
Saved path: gym, hardware_store, party_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop : 40716
Saved path: toy_store, clothing_store, cafe, burger_joint, pizzeria, craft_shop, bank, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 47514
Saved path: gelateria, party_store, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, hardware_store, gym, craft_shop, bank : 45375
Saved path: dentist, craft_shop, bank, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe : 46100
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, bank, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, gym : 48059
Saved path: tech_shop, bookstore, burger_joint, bakery, pet_store, bike_shop, jewelry_store, gym, bank, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store : 44836
Saved path: florist, bank, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, salon, jewelry_store, pharmacy, gelateria : 35566
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, bookstore, dentist, craft_shop, bank, florist, pharmacy, party_store : 45535
Saved path: florist, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria : 50108
Saved path: gelateria, music_store, pharmacy, party_store, salon, pet_store, hardware_store, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria : 45041
Saved path: jewelry_store, barber_shop, bakery, bike_shop, party_store, music_store, florist, bank, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store : 40632
