Saved path: dentist, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, bike_shop, pet_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 48710
Saved path: florist, craft_shop, gym, pizzeria, bookstore, cafe, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, party_store, gelateria, music_store : 46271
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, music_store, salon, pet_store, bakery : 47067
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, toy_store, grocery_store, bookstore, burger_joint, gym, craft_shop, florist : 38479
Saved path: pizzeria, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, gym, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, craft_shop : 42260
Saved path: pet_store, gym, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, party_store, jewelry_store, bakery : 50529
Saved path: jewelry_store, bakery, bike_shop, party_store, pharmacy, music_store, florist, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store, gym, hardware_store : 37301
Saved path: craft_shop, dentist, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, bakery, salon, party_store, gelateria, music_store, florist, pizzeria : 37301
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon : 35423
Saved path: barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store : 49367
Saved path: dentist, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop, gelateria, music_store, florist, bank : 44603
Saved path: bookstore, bank, florist, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, clothing_store, dentist, cafe, burger_joint : 46779
