Saved path: florist, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, bakery, salon, party_store : 32155
Saved path: barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, bank, craft_shop, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store : 52336
Saved path: craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, pet_store, bakery, salon, party_store, pharmacy, music_store : 47553
Saved path: salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, gym, florist, music_store, pharmacy : 38711
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, florist, bank, craft_shop, pizzeria, gym, cafe : 34990
Saved path: hardware_store, jewelry_store, bike_shop, party_store, gelateria, florist, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 34154
Saved path: burger_joint, bakery, bike_shop, party_store, pharmacy, gelateria, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop : 34761
Saved path: cafe, dentist, pizzeria, music_store, pharmacy, party_store, salon, bike_shop, pet_store, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 48503
Saved path: salon, bike_shop, bakery, party_store, gelateria, florist, bank, pizzeria, bookstore, dentist, tech_shop, noodle_house, toy_store, gym, hardware_store : 36990
Saved path: bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore, gym, bank, florist, gelateria, pharmacy, party_store, pet_store : 49228
Saved path: bakery, bike_shop, party_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 35748
Saved path: grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bakery, barber_shop, party_store, pharmacy, gelateria, bank, dentist, cafe : 37378
Saved path: gym, florist, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, jewelry_store, salon, bakery, pet_store : 38798
Saved path: craft_shop, pizzeria, gym, burger_joint, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store : 47814
