Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, toy_store, grocery_store, dentist, craft_shop, pizzeria, gelateria, music_store, pharmacy, salon : 42880
Saved path: pizzeria, craft_shop, dentist, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, gelateria, music_store, bank, gym : 39753
Saved path: dentist, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, pet_store, bakery, salon, pharmacy, florist, bank, craft_shop : 46056
Saved path: noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, gym, toy_store : 43402
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, music_store, florist, bank, bookstore, cafe, noodle_house, toy_store, gym, hardware_store, bakery : 42070
Saved path: toy_store, clothing_store, grocery_store, tech_shop, craft_shop, bank, gelateria, music_store, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store : 38647
Saved path: clothing_store, toy_store, hardware_store, pet_store, bakery, party_store, music_store, bank, craft_shop, pizzeria, gym, burger_joint, noodle_house, tech_shop, grocery_store : 42907
Saved path: hardware_store, pet_store, bakery, barber_shop, jewelry_store, pharmacy, florist, bank, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 43241
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, bank, florist, gelateria, bakery, bike_shop, jewelry_store, gym, burger_joint, tech_shop, noodle_house : 39231
Saved path: gym, hardware_store, pet_store, bakery, jewelry_store, party_store, gelateria, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 47153
Saved path: burger_joint, gym, bakery, salon, party_store, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, bookstore : 34995
Saved path: burger_joint, cafe, clothing_store, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, craft_shop, pizzeria, gym : 44460
Saved path: salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, music_store, gelateria, pharmacy : 35685
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery, gelateria, music_store, florist : 38307
Saved path: toy_store, gym, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, noodle_house, grocery_store, clothing_store : 37661
Saved path: party_store, pharmacy, music_store, florist, bank, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, bakery : 37812
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, florist, gym, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 51285
Saved path: music_store, gelateria, pharmacy, salon, jewelry_store, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym, florist : 40012
Saved path: jewelry_store, barber_shop, bakery, music_store, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store : 39825
Saved path: bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, music_store, pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, grocery_store : 48686
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, gelateria, music_store : 39061
Saved path: gym, pizzeria, craft_shop, florist, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint : 32850
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, gym, pizzeria, bookstore, grocery_store, tech_shop, toy_store : 48554
Saved path: craft_shop, bank, florist, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore : 39674
Saved path: gym, pizzeria, bank, florist, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, hardware_store, burger_joint, cafe, grocery_store, toy_store : 41266
Saved path: toy_store, clothing_store, grocery_store, burger_joint, gym, craft_shop, bank, florist, gelateria, party_store, pet_store, bakery, salon, jewelry_store, barber_shop : 42752
Saved path: pet_store, bike_shop, salon, jewelry_store, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, music_store, gelateria, bakery : 52028
Saved path: bakery, bike_shop, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store : 34689
Saved path: barber_shop, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery : 51578
Saved path: bakery, pet_store, party_store, pharmacy, florist, gym, burger_joint, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop : 48830
Saved path: pet_store, bakery, jewelry_store, hardware_store, gym, burger_joint, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria : 50445
Saved path: pizzeria, craft_shop, music_store, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 37570
