Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, florist, pizzeria, bookstore, hardware_store, bakery, bike_shop, salon : 37260
Saved path: salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, craft_shop, florist, music_store, gelateria, pharmacy, pet_store, bike_shop : 46113
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, bank, craft_shop, gym, burger_joint, dentist : 40504
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, gelateria, party_store, bike_shop, bakery : 40609
Saved path: dentist, cafe, clothing_store, toy_store, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store, bank, pizzeria : 37573
Saved path: grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, party_store, jewelry_store, bakery, gym, burger_joint, tech_shop, toy_store : 40568
Saved path: gelateria, music_store, florist, bank, gym, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 45014
Saved path: florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, gelateria, music_store : 32176
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, grocery_store, dentist, craft_shop, florist, music_store, pharmacy, bike_shop, bakery : 41457
Saved path: hardware_store, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, bank, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon : 48684
Saved path: gelateria, pharmacy, bakery, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, bank, florist, music_store : 36969
Saved path: florist, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, bank : 44709
Saved path: gym, bank, florist, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 43523
Saved path: barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, burger_joint, cafe, grocery_store, toy_store : 36460
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, bank, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, gym : 47134
Saved path: party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, salon : 32438
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, gelateria, pharmacy, party_store, jewelry_store, salon, pet_store, gym : 48069
Saved path: salon, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 44934
Saved path: burger_joint, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, music_store, bank, pizzeria, gym, hardware_store : 46133
Saved path: gym, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, music_store, bank, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store : 34483
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, party_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist : 41020
Saved path: craft_shop, florist, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe : 36418
Saved path: pharmacy, party_store, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, craft_shop, bank, florist, gelateria : 41452
