Saved path: cafe, pizzeria, craft_shop, florist, pet_store, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore : 59007
Saved path: music_store, pet_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery : 59632
Saved path: pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, bookstore, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store : 59403
Saved path: noodle_house, barber_shop, bakery, party_store, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store : 52973
Saved path: noodle_house, salon, barber_shop, bakery, bank, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, hardware_store, toy_store : 58140
Saved path: grocery_store, cafe, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, hardware_store, gym, toy_store, clothing_store : 59223
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, florist, gelateria, bakery : 52162
Saved path: burger_joint, bookstore, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, florist, gym, hardware_store : 59946
Saved path: bank, gelateria, pharmacy, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store : 57280
Saved path: tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, bakery, party_store, jewelry_store, pharmacy, bank, music_store, florist, pet_store, dentist : 62860
Saved path: bakery, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, hardware_store : 63436
Saved path: hardware_store, gym, craft_shop, pet_store, florist, music_store, party_store, barber_shop, salon, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint : 58805
Saved path: salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, pet_store, pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store : 60591
Saved path: gym, bike_shop, party_store, bakery, pharmacy, gelateria, bank, florist, pizzeria, dentist, cafe, clothing_store, noodle_house, salon, burger_joint : 63626
Saved path: bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, gym, barber_shop, bike_shop, party_store, bakery, pharmacy : 69619
Saved path: hardware_store, craft_shop, gelateria, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore, burger_joint : 65604
Saved path: party_store, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, florist, pet_store, gym, hardware_store : 55573
Saved path: music_store, pharmacy, bakery, barber_shop, salon, toy_store, clothing_store, dentist, cafe, bookstore, gym, craft_shop, florist, gelateria, bank : 54747
Saved path: pharmacy, music_store, bank, gelateria, pet_store, dentist, cafe, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store : 67518
