Saved path: salon, noodle_house, clothing_store, toy_store, burger_joint, dentist, pizzeria, florist, music_store, gelateria, pet_store, gym, party_store, jewelry_store, barber_shop : 65916
Saved path: hardware_store, burger_joint, bookstore, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pizzeria, gym : 70706
Saved path: pharmacy, bakery, party_store, bike_shop, gym, burger_joint, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, florist, bank : 59975
Saved path: gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy, florist, pet_store, craft_shop : 59047
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, bakery, jewelry_store : 64350
Saved path: salon, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, music_store, party_store, jewelry_store, bike_shop, barber_shop : 61198
Saved path: party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, bank, music_store, pharmacy, bakery, bike_shop : 66208
Saved path: party_store, jewelry_store, gelateria, music_store, florist, gym, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 58017
Saved path: bookstore, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint : 52328
Saved path: grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, gym, hardware_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store : 71281
Saved path: bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, gym : 60481
Saved path: cafe, burger_joint, hardware_store, gym, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, pizzeria, dentist : 69282
Saved path: pizzeria, dentist, burger_joint, hardware_store, gym, pet_store, florist, bank, music_store, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 64296
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, bookstore, cafe, grocery_store, noodle_house, salon, barber_shop : 52069
Saved path: toy_store, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, music_store, bank, gelateria, pet_store, pizzeria, cafe, burger_joint, hardware_store : 67823
Saved path: burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, pharmacy, music_store, bank, gelateria, florist, pet_store, dentist : 51725
Saved path: hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, dentist, cafe, bookstore, tech_shop, grocery_store, toy_store : 60737
Saved path: hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, bookstore, gym : 63789
Saved path: toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, music_store, gelateria, florist, dentist, tech_shop, bookstore, burger_joint, hardware_store : 53462
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, bakery, salon, noodle_house, toy_store : 58814
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, gelateria, music_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 62034
Saved path: music_store, pharmacy, hardware_store, gym, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bank : 66804
Saved path: dentist, bookstore, burger_joint, hardware_store, gym, florist, bank, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop : 70388
Saved path: cafe, dentist, clothing_store, noodle_house, salon, barber_shop, party_store, jewelry_store, bike_shop, music_store, bank, florist, hardware_store, burger_joint, bookstore : 68973
