Saved path: pizzeria, dentist, cafe, noodle_house, burger_joint, gym, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop : 61185
Saved path: florist, music_store, bank, gelateria, jewelry_store, bike_shop, bakery, toy_store, noodle_house, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store : 66258
Saved path: noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, gym, florist, music_store, bank, pharmacy, jewelry_store, barber_shop, salon, toy_store : 67829
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, bank, gelateria, florist, gym, burger_joint, cafe, dentist, grocery_store : 66691
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, hardware_store, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint : 58335
Saved path: salon, bike_shop, pharmacy, music_store, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store : 64808
Saved path: hardware_store, gym, toy_store, salon, noodle_house, burger_joint, dentist, pizzeria, pet_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop : 70328
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, bakery : 47564
Saved path: hardware_store, gym, tech_shop, dentist, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 65058
Saved path: toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, pizzeria, gym, hardware_store, bookstore, grocery_store, noodle_house : 67616
Saved path: bike_shop, gym, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop : 57279
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, hardware_store, gym, toy_store : 64618
Saved path: craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, party_store, bakery, bank, pet_store : 64930
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store, bakery, pharmacy, gelateria, florist, gym, bookstore, cafe, pizzeria : 55461
Saved path: cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, gelateria, music_store, florist, gym, hardware_store : 53593
Saved path: dentist, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist : 67902
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, florist, music_store, bank : 67138
Saved path: jewelry_store, bike_shop, bakery, bank, gelateria, florist, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop : 63710
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, florist, bank : 67287
Saved path: bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store : 64560
Saved path: craft_shop, pet_store, florist, gelateria, pharmacy, barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria : 51811
Saved path: pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym : 65688
Saved path: bookstore, craft_shop, pet_store, florist, music_store, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, burger_joint : 57717
Saved path: pharmacy, bakery, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, bank : 68356
Saved path: burger_joint, bookstore, dentist, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, tech_shop : 56003
Saved path: grocery_store, clothing_store, salon, hardware_store, gym, florist, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe : 54866
Saved path: cafe, dentist, craft_shop, gym, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint : 50597
Saved path: music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, dentist, craft_shop, pet_store, bank : 67786
Saved path: florist, gym, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store : 64001
Saved path: pet_store, dentist, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, pharmacy, gelateria, bank, music_store, florist : 69791
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, florist, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, gym, burger_joint : 63972
Saved path: bike_shop, party_store, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, music_store : 67542
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, bookstore : 57023
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, dentist, clothing_store, noodle_house : 61892
Saved path: clothing_store, cafe, tech_shop, pizzeria, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house : 57614
Saved path: bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, pet_store : 64731
Saved path: dentist, grocery_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, gym, burger_joint, bookstore, cafe : 62897
Saved path: bank, gelateria, pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, gym, pet_store : 63570
Saved path: pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, jewelry_store, bike_shop, pharmacy, gelateria, bank, pet_store, craft_shop : 61284
Saved path: gelateria, pet_store, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, clothing_store, bookstore, cafe, dentist, pizzeria : 64253
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, gym, florist, gelateria : 66613
