Saved path: dentist, cafe, bookstore, noodle_house, salon, toy_store, bakery, bike_shop, party_store, pharmacy, bank, music_store, florist, pet_store, craft_shop : 63126
Saved path: pharmacy, music_store, bank, florist, gym, hardware_store, bookstore, dentist, pizzeria, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store : 68134
Saved path: grocery_store, clothing_store, salon, hardware_store, gym, bakery, jewelry_store, music_store, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore : 62084
Saved path: bank, pharmacy, bakery, party_store, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore, pizzeria, pet_store, florist : 71455
Saved path: bakery, party_store, bike_shop, gym, hardware_store, salon, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, gelateria, music_store : 60379
Saved path: clothing_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store : 53087
Saved path: bakery, pharmacy, music_store, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store : 59392
Saved path: music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop : 58676
Saved path: bank, music_store, bike_shop, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, gelateria : 66256
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, bank, gelateria, bakery, party_store, jewelry_store, salon : 60675
Saved path: pharmacy, music_store, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery : 58781
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, pharmacy, bakery, bike_shop, jewelry_store, party_store : 56166
Saved path: tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house : 62195
Saved path: bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, gym, noodle_house, clothing_store, tech_shop, cafe, bookstore, jewelry_store : 61142
Saved path: noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, gym, salon : 59467
Saved path: dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, toy_store, bakery, party_store, bike_shop, music_store, bank, florist, pet_store : 66362
Saved path: tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, music_store, florist, pizzeria, dentist : 62813
