Saved path: gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe, dentist, craft_shop, music_store : 40826
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, gym, craft_shop, florist, gelateria, party_store : 43466
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store : 39327
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, pizzeria, music_store, gelateria, pharmacy, party_store : 46138
Saved path: bakery, pet_store, bike_shop, gym, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, pharmacy, party_store : 45830
Saved path: pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 34256
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, salon, party_store : 30352
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, gym, burger_joint, bookstore, clothing_store, tech_shop, noodle_house, toy_store : 38726
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, gym, hardware_store, cafe, tech_shop, toy_store, barber_shop, bakery, bike_shop, party_store : 39218
Saved path: bakery, salon, jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, gelateria, party_store, pet_store : 48335
Saved path: salon, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, florist, music_store, gelateria, jewelry_store : 50340
Saved path: bakery, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, music_store, party_store : 40325
Saved path: dentist, grocery_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, party_store, gelateria, music_store, craft_shop : 41462
Saved path: jewelry_store, bakery, bike_shop, party_store, pharmacy, florist, craft_shop, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, hardware_store : 34827
Saved path: pet_store, bike_shop, jewelry_store, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 45779
Saved path: tech_shop, burger_joint, hardware_store, jewelry_store, bakery, salon, pharmacy, music_store, florist, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house : 33201
Saved path: bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank : 32462
Saved path: burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, party_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore : 36287
Saved path: gym, pizzeria, florist, music_store, party_store, salon, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint : 40703
Saved path: gelateria, florist, bank, craft_shop, gym, burger_joint, bookstore, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy : 45646
Saved path: cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, pharmacy, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist : 39336
Saved path: craft_shop, pizzeria, gym, hardware_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist : 40269
Saved path: craft_shop, florist, bank, pizzeria, gym, bakery, pet_store, bike_shop, salon, party_store, barber_shop, toy_store, clothing_store, burger_joint, dentist : 49773
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery : 43871
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, pizzeria, craft_shop, bank, florist, gelateria : 35448
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, pharmacy, gym, burger_joint, bookstore, dentist : 48092
Saved path: salon, bike_shop, bakery, gym, toy_store, burger_joint, cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, party_store, jewelry_store : 40363
Saved path: gelateria, pharmacy, party_store, pet_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, florist : 44697
Saved path: hardware_store, gym, toy_store, noodle_house, dentist, bookstore, pizzeria, bank, florist, gelateria, pharmacy, barber_shop, bakery, bike_shop, salon : 42746
Saved path: bank, florist, gelateria, party_store, salon, bike_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, gym : 31903
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pharmacy, music_store, florist, bank, bookstore, cafe : 42181
