Saved path: toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, bank, florist, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, gym : 44704
Saved path: barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, burger_joint, gym, florist, music_store, party_store, pet_store, bakery, jewelry_store : 50580
Saved path: salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, party_store : 41005
Saved path: music_store, pharmacy, bike_shop, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, florist : 34292
Saved path: barber_shop, bakery, pet_store, salon, pharmacy, music_store, florist, pizzeria, dentist, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store : 51735
Saved path: gym, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria : 47311
Saved path: bookstore, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, bakery, music_store, gelateria, bank, pizzeria, gym, craft_shop, dentist, cafe : 41426
Saved path: clothing_store, tech_shop, cafe, dentist, pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, gym, toy_store : 39929
Saved path: gym, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, burger_joint, hardware_store : 47404
Saved path: craft_shop, bank, florist, music_store, pharmacy, barber_shop, bakery, pet_store, hardware_store, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria : 50817
Saved path: toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, hardware_store : 36504
Saved path: hardware_store, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop : 44364
Saved path: bank, pizzeria, gym, hardware_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, music_store, florist : 37331
Saved path: florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, salon, pharmacy, gelateria : 32712
Saved path: craft_shop, florist, music_store, gelateria, bakery, pet_store, bike_shop, gym, toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist : 49986
Saved path: toy_store, tech_shop, cafe, bookstore, pizzeria, gym, bank, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop : 47110
Saved path: pharmacy, music_store, florist, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 45682
Saved path: pizzeria, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop, party_store, gelateria, florist, craft_shop : 36970
Saved path: music_store, pharmacy, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist : 37111
Saved path: florist, bank, pizzeria, craft_shop, dentist, burger_joint, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, music_store : 49754
Saved path: burger_joint, tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, jewelry_store, gym, pizzeria, florist, bank, craft_shop, dentist, bookstore : 34926
