Saved path: hardware_store, gym, pizzeria, bank, gelateria, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house : 44873
Saved path: gym, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store, craft_shop : 48407
Saved path: party_store, pharmacy, music_store, florist, bank, craft_shop, gym, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 44041
Saved path: clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, gelateria, florist, bank, burger_joint, tech_shop, grocery_store : 42509
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, bank, music_store, gelateria, pharmacy, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house : 36406
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, pizzeria, bank, florist, gelateria, pharmacy, party_store, barber_shop, bakery : 39687
Saved path: cafe, hardware_store, gym, pizzeria, craft_shop, bank, gelateria, party_store, salon, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 44686
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, gym, music_store, gelateria, pharmacy, bike_shop, bakery : 39829
Saved path: pharmacy, music_store, bank, craft_shop, pizzeria, gym, hardware_store, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store : 47315
Saved path: clothing_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy, music_store, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store : 46546
Saved path: bookstore, burger_joint, gym, craft_shop, florist, music_store, pharmacy, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist : 52194
Saved path: bakery, jewelry_store, hardware_store, gym, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, salon, bike_shop : 41959
Saved path: gelateria, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery : 39679
Saved path: jewelry_store, bakery, bike_shop, party_store, gelateria, music_store, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym : 41875
Saved path: noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, florist, pharmacy, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store : 45404
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria : 48596
Saved path: salon, hardware_store, toy_store, tech_shop, clothing_store, dentist, pizzeria, bank, florist, music_store, gelateria, pharmacy, barber_shop, bakery, pet_store : 50354
Saved path: tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, gelateria, bank, pizzeria, bookstore, dentist, grocery_store, toy_store : 41973
Saved path: music_store, gelateria, bank, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 41173
Saved path: jewelry_store, barber_shop, bakery, bike_shop, party_store, music_store, gelateria, bank, pizzeria, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store : 39061
Saved path: clothing_store, noodle_house, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, bank, bookstore, dentist, grocery_store : 50345
Saved path: salon, bike_shop, pet_store, bakery, gelateria, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 43857
Saved path: cafe, grocery_store, dentist, craft_shop, bank, florist, pharmacy, salon, bike_shop, bakery, hardware_store, toy_store, noodle_house, burger_joint, bookstore : 35195
Saved path: dentist, grocery_store, bookstore, tech_shop, toy_store, gym, hardware_store, jewelry_store, bike_shop, salon, party_store, pharmacy, music_store, florist, craft_shop : 42622
Saved path: burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bank, bookstore, grocery_store, cafe : 45875
Saved path: craft_shop, pizzeria, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, dentist : 47711
Saved path: jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, florist, bank, craft_shop, gym, burger_joint, cafe, tech_shop, clothing_store, toy_store : 33732
Saved path: bank, pizzeria, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist : 40058
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, gelateria, bank, pizzeria, dentist, burger_joint : 36994
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, bakery, hardware_store, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, florist : 33573
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, dentist, craft_shop, bank, florist : 39503
Saved path: bakery, gelateria, music_store, florist, bank, craft_shop, gym, bookstore, dentist, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop : 44389
Saved path: pizzeria, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, dentist : 48731
Saved path: bike_shop, bakery, barber_shop, toy_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, bank, florist, gelateria, party_store : 37385
Saved path: pizzeria, bank, florist, gelateria, bakery, bike_shop, salon, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 32571
Saved path: pet_store, bike_shop, salon, barber_shop, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, craft_shop, pizzeria, florist, gelateria, bakery : 49419
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, salon, music_store, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint : 50240
