Saved path: tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, jewelry_store, gelateria, music_store, bank, pizzeria, craft_shop, dentist, clothing_store : 41440
Saved path: pet_store, bike_shop, party_store, music_store, florist, bank, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery : 50008
Saved path: clothing_store, grocery_store, dentist, craft_shop, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, bookstore : 39181
Saved path: party_store, music_store, florist, bank, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store : 45374
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, salon, party_store : 36034
Saved path: grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, salon, bike_shop, bakery, burger_joint, tech_shop, toy_store : 33010
Saved path: dentist, cafe, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, gym, pizzeria, craft_shop : 39897
Saved path: gym, craft_shop, bank, florist, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 43367
Saved path: pizzeria, florist, music_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist : 51192
Saved path: florist, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy : 46190
Saved path: gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, pizzeria, bank, florist, music_store : 37191
Saved path: craft_shop, bank, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, burger_joint, gym : 50556
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, bike_shop : 35997
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria : 40348
Saved path: hardware_store, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store : 29068
Saved path: craft_shop, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, gelateria, florist, bank, pizzeria, gym : 37945
Saved path: bank, florist, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria : 37736
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 33105
Saved path: jewelry_store, barber_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, dentist, grocery_store, toy_store, hardware_store : 41131
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, music_store, pharmacy, pet_store : 51187
Saved path: pharmacy, gelateria, florist, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, party_store : 37049
Saved path: clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, bank, music_store, gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store : 37197
Saved path: music_store, gelateria, party_store, salon, bike_shop, jewelry_store, hardware_store, toy_store, tech_shop, cafe, burger_joint, gym, pizzeria, craft_shop, florist : 37110
Saved path: tech_shop, noodle_house, toy_store, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, cafe, grocery_store : 42168
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, salon, bike_shop, pet_store, bakery : 48074
Saved path: hardware_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, florist, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store : 41328
Saved path: toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, craft_shop, dentist, cafe, tech_shop, noodle_house : 51646
