,post_office,barber_shop,bakery,bike_shop,cafe,clothing_store,dentist,craft_shop,grocery_store,jewelry_store,florist,hardware_store,gym,pizzeria,pet_store,music_store,pharmacy,toy_store,bank,bookstore,noodle_house,party_store,burger_joint,gelateria,salon,tech_shop
gym,1926.7862000000002,7331.5671,4059.5463000000004,5764.8266,3576.9238,5059.6493,6030.670899999999,2216.5002999999997,4850.1647,9217.1589,7407.416299999999,2128.4843,0.0,6228.9373,7704.576799999999,10225.541399999998,7163.2692,3337.3031,14786.9659,3860.594,4859.486,7782.4642,2669.3271,9893.430499999999,6498.266099999999,4903.6907
pizzeria,7532.266100000001,11795.763600000002,9665.0262,11370.3065,4666.5285,5660.9394,2668.9634000000005,4012.4370000000004,5197.3288,14822.6388,9756.0572,7733.964200000001,6228.9373,0.0,10053.217699999997,12574.1823,12768.7491,7383.285600000001,17135.6068,5754.197900000001,6801.818700000001,13387.9441,5596.447,12242.0714,9760.2512,4088.6802000000002
pet_store,9631.363,15036.1439,11764.123099999997,13469.403399999997,10164.1372,11712.1269,9854.951299999999,6040.780699999999,11437.3781,16921.735699999997,4032.156699999999,9833.061099999999,7704.576799999999,10053.2177,0.0,6850.281799999999,9053.369799999999,11041.879899999998,8696.7359,9076.4678,12156.071599999997,15487.040999999997,10373.9039,4854.0287,14202.842899999998,11490.9041
music_store,10526.381,12666.3419,9394.321099999997,11099.601399999998,12685.101799999999,14233.091499999999,12375.915899999998,8561.745299999999,13958.3427,14551.933699999998,2818.1250999999997,10728.079099999999,10225.541399999998,12574.182299999999,6850.281799999999,0.0,4846.337999999999,12708.937899999999,4930.0443000000005,11597.4324,14231.120799999999,13117.238999999998,12040.9619,2311.1391,14775.2655,14011.868699999999
pharmacy,5680.042999999999,7820.0039,4547.9830999999995,6253.263399999999,8102.2206,9584.946099999997,11155.808700000001,9379.769499999999,9375.461500000001,9705.5957,5021.213099999999,5881.741099999999,7163.269199999999,12768.7491,9053.369799999997,4846.337999999999,0.0,7862.599899999998,9407.7625,8385.8908,9384.782799999997,8270.901,7194.623899999999,4514.2271,9928.9275,9428.987500000001
toy_store,2626.1169,5252.219800000002,4758.8769999999995,6464.157299999999,3037.2345,1722.3462,5960.170600000001,5553.8034,2185.9568,9916.489599999999,10744.719399999998,2827.8149999999996,3337.3030999999996,7383.285600000001,11041.8799,12708.937899999999,7862.599899999999,0.0,17270.362399999998,3320.9047,1522.1828999999998,8481.794899999999,2129.6378,12376.827,3216.707400000001,3294.6054000000004
bank,15087.8055,17227.7664,13955.745599999998,15661.025899999999,17246.5263,18794.516,16937.3404,13123.1698,18519.767200000002,19113.3582,7379.549600000001,15289.5036,14786.9659,17135.606799999998,8696.7359,4930.0443000000005,9407.7625,17270.3624,0.0,16158.8569,18792.545299999998,17678.6635,16602.3864,4893.535400000001,19336.690000000002,18573.2932
bookstore,3149.4078000000004,8073.548700000001,5282.1679,6987.4482,1087.6694000000002,2635.6591,4141.257500000001,3588.391300000001,2360.910300000001,10439.7805,8779.3073,3351.1059,3860.594,5754.197900000001,9076.4678,11597.432400000002,8385.8908,3320.9046999999996,16158.856900000002,0.0,3079.6037999999994,9005.0858,1346.0326999999997,11265.321500000002,6038.036300000001,2414.4363000000003
noodle_house,4148.299799999999,4993.944900000001,6281.059899999999,7986.340199999999,2663.4896,1140.8793,5378.7037,6667.9951,1604.4899,11438.672499999999,11858.9111,4349.997899999999,4859.485999999999,6801.8187,12156.0716,14231.120799999999,9384.782799999999,1522.1829,18792.545299999998,3079.6037999999994,0.0,10003.977799999999,2713.5649,13899.0099,2958.432500000001,2713.1385
party_store,6299.237999999999,8439.1989,3722.9179,3959.094,8721.415599999998,10204.141099999999,11775.0037,9998.9645,9994.6565,3023.1463000000003,13292.114099999999,6500.9361,7782.4642,13387.944099999999,15487.040999999997,13117.239,8270.901,8481.794899999999,17678.663500000002,9005.085799999999,10003.977799999999,0.0,7813.818899999999,12785.1281,10548.1225,10048.182499999999
burger_joint,1958.1408999999999,6904.241800000002,4090.901,5796.181299999999,929.9185,2477.9082,3983.5066000000006,4885.8274,2203.1594000000005,9248.5136,10076.743399999998,2159.839,2669.3271,5596.447,10373.903899999998,12040.961899999998,7194.623899999999,2129.6377999999995,16602.3864,1346.0326999999995,2713.5649,7813.8189,0.0,11708.850999999999,4868.729400000001,2256.6854
gelateria,10194.2701,12334.231,9062.210199999998,10767.490499999998,12352.9909,13900.9806,12043.804999999998,8229.634399999999,13626.231800000001,14219.822799999998,2486.0142000000005,10395.9682,9893.4305,12242.071399999999,4854.0287,2311.1391,4514.2271,12376.827,4893.535400000001,11265.321500000002,13899.0099,12785.128099999998,11708.851,0.0,14443.1546,13679.757800000001
salon,5015.039899999999,3195.0454000000013,6825.204600000001,8530.484900000001,5621.922100000001,4099.311800000001,8337.1362,8714.766399999999,4562.922400000001,11081.131000000003,13905.682399999996,4369.781799999999,6498.266099999999,9760.2512,14202.842899999996,14775.2655,9928.9275,3216.707400000001,19336.690000000002,6038.036300000001,2958.432500000001,10548.122500000001,4868.7294,14443.1546,0.0,5671.571000000001
tech_shop,4192.5045,7707.083400000001,6325.2646,8030.5449,1326.7669,1572.2592,3827.7398000000003,6002.827600000001,1108.6486,11482.8772,11193.7436,4394.2026000000005,4903.690699999999,4088.6802000000002,11490.9041,14011.868699999999,9428.9875,3294.6054,18573.2932,2414.4363000000003,2713.1385,10048.1825,2256.6854000000003,13679.7578,5671.571000000001,0.0
