,post_office,barber_shop,bakery,bike_shop,cafe,clothing_store,dentist,craft_shop,grocery_store,jewelry_store,florist,hardware_store,gym,pizzeria,pet_store,music_store,pharmacy,toy_store,bank,bookstore,noodle_house,party_store,burger_joint,gelateria,salon,tech_shop
florist,6277.523699999999,10566.6968,8410.2838,10097.6983,5735.0015,7282.9912,6501.111999999999,2686.9413999999992,7008.2424,9066.2498,0.0,6479.221799999999,4350.737499999999,2872.2390999999993,13794.245999999997,5116.8495,4796.815699999999,7688.040599999998,1314.1658999999997,4647.3321,6911.559899999999,7057.8487,5993.364799999999,4172.1426,8362.863899999998,6383.2726999999995
hardware_store,645.2581,4934.4312,2778.0182,4465.4327,3067.4357,4249.8550000000005,6121.023800000001,4344.9846,4340.6766,3433.9842,6479.221799999998,0.0,2128.4843,4530.2823,8161.980399999999,8749.0463,6425.8301,2827.8149999999996,5165.055899999999,3351.1059,3007.7844999999998,4164.7971,2159.839,7804.3394,2730.5982999999997,2850.8588999999997
gym,1926.7862000000002,6215.9593,4059.5463000000004,5746.960800000001,3576.9238,4759.3431,6030.670899999999,2216.5002999999997,4850.1647,4715.5123,4350.737499999998,2128.4843,0.0,2401.7980000000002,9443.5085,9467.586999999998,7707.3582,3337.3031,3036.5715999999993,3860.594,3517.2726,5446.325199999999,2669.3271,8522.880099999998,4012.1264,3360.3469999999998
pizzeria,4328.5842,8617.757300000001,6461.344300000001,8148.758800000001,2862.7624000000005,4410.752100000001,4552.172500000001,738.0019000000002,4136.0033,7117.310300000001,2872.2390999999993,4530.282300000001,2401.7980000000002,0.0,11845.3065,7989.088599999999,7669.054799999998,4862.8713,1558.0731999999998,1775.0930000000003,4039.3208000000004,7848.1232,3121.1257,7044.381699999999,6413.924400000001,3511.0336
pet_store,7960.282299999999,8984.6354,5383.962199999999,5620.138299999999,10382.459899999998,11564.8792,13436.047999999999,11660.008799999998,11655.700799999999,7484.188399999999,13794.245999999997,8161.9803999999995,9443.508499999998,11845.306499999999,0.0,12799.250499999998,10476.0343,10142.839199999999,12480.080099999997,10666.130099999998,10322.8087,8215.0013,9474.8632,11854.543599999999,5964.5425,10165.8831
music_store,8547.348199999999,9571.701299999999,7415.288299999999,9102.7028,10851.850999999999,12151.945099999999,11617.9615,7803.790899999999,12125.0919,8071.254299999999,5116.8495,8749.046299999998,9467.587,7989.088599999999,12799.250499999998,0.0,2323.216199999999,10729.905099999998,6431.015399999999,9764.1816,10909.8746,4584.249199999999,10061.9291,1698.5430999999999,7367.868399999999,10752.948999999999
pharmacy,6224.132,7248.4851,5092.0721,6779.486600000001,8646.309599999999,9828.7289,11297.927699999998,7483.757099999998,9919.5505,5748.0381,4796.815699999999,6425.8301,7707.358200000001,7669.054799999998,10476.0343,2323.216199999999,0.0,8406.6889,6110.981599999998,8929.9798,8586.6584,2261.0330000000004,7738.7128999999995,1378.5092999999997,5044.6522,8429.7328
toy_store,2626.1169,5252.219800000002,4758.8769999999995,6446.2915,2671.6641,1722.3462,5725.252200000001,5553.8034,2185.9568,5414.843,7688.040599999998,2827.8149999999996,3337.3030999999996,4862.8713,10142.839199999999,10729.9051,8406.688900000001,0.0,6373.874699999999,3087.7782999999995,1025.9653,6145.6559,2129.6378,9785.1982,4711.4571,1351.8376999999996
bank,4963.357799999999,9252.5309,7096.117899999999,8783.5324,4420.8356,5968.8253,5186.946099999999,1372.7754999999995,5694.0765,7752.0839,1314.1658999999997,5165.055899999999,3036.5715999999993,1558.0731999999998,12480.080099999997,6431.0154,6110.981599999999,6373.8746999999985,0.0,3333.1662,5597.393999999999,8372.014599999999,4679.198899999999,5486.3085,7048.697999999999,5069.1068
bookstore,3149.4078000000004,7438.580900000001,5282.1679,6969.582400000001,1087.6694000000002,2635.6591,4141.257500000001,2513.0949000000005,2360.910300000001,5938.133900000001,4647.332099999999,3351.1059,3860.594,1775.0930000000003,10666.1301,9764.1816,8929.979800000001,3087.7782999999995,3333.1661999999997,0.0,2264.2277999999997,6668.9468,1346.0326999999997,8819.4747,5234.7480000000005,1735.9406
noodle_house,2806.0864,5592.847300000001,4938.8465,6626.261,1848.1136000000004,1602.3337000000001,4901.701700000001,4777.322700000001,2020.1393000000007,5594.8125,6911.559899999999,3007.7844999999998,3517.2726,4039.3208,10322.8087,10909.8746,8586.6584,1025.9653,5597.394,2264.2277999999997,0.0,6325.625399999999,1306.0873,9965.1677,4891.4266,528.2871999999999
party_store,3963.0989999999997,4987.4521,2831.0391,4518.4536,6385.2766,7567.695899999999,9438.8647,7662.825499999999,7658.5175,3487.0051,7057.8487000000005,4164.7971,5446.325199999999,7848.123199999999,8215.0013,4584.249199999999,2261.0330000000004,6145.655899999999,8372.0146,6668.946800000001,6325.625399999999,0.0,5477.679899999999,3639.5423,2783.6191999999996,6168.699799999999
burger_joint,1958.1408999999999,6247.314,4090.901,5778.3155,929.9185,2477.9082,3983.5066000000006,3859.1276,2203.1594000000005,4746.867,5993.3647999999985,2159.839,2669.3271,3121.1256999999996,9474.8632,10061.9291,7738.7128999999995,2129.6377999999995,4679.198899999999,1346.0326999999995,1306.0873000000001,5477.679899999999,0.0,9117.2222,4043.4810999999995,1149.1617
gelateria,7602.641299999999,8626.9944,6470.5814,8157.995900000001,9907.144099999998,11207.2382,10673.254599999998,6859.083999999999,11180.384999999998,7126.5473999999995,4172.1426,7804.3394,8522.880099999998,7044.381699999999,11854.543599999999,1698.5430999999999,1378.5092999999997,9785.198199999999,5486.308499999999,8819.474699999999,9965.1677,3639.5423,9117.2222,0.0,6423.1615,9808.2421
salon,2528.9002,3553.2533,580.5803000000001,1734.8344,4951.0778,6133.4971000000005,8004.6659,6228.6267,6224.3187,2052.8063,8362.863899999998,2730.5982999999997,4012.1263999999996,6413.9244,5964.5425,7367.868399999999,5044.6522,4711.4571,7048.697999999999,5234.7480000000005,4891.4266,2783.6191999999996,4043.4811,6423.161499999999,0.0,4734.501
tech_shop,2649.1608,6121.134500000002,4781.9209,6469.335400000001,1319.8264000000004,1398.9961000000003,4373.414500000001,4249.0355,1491.8521000000007,5437.8868999999995,6383.272699999999,2850.8588999999997,3360.3469999999998,3511.0336,10165.8831,10752.948999999999,8429.7328,1351.8376999999996,5069.1068,1735.9406,528.2871999999999,6168.699799999999,1149.1616999999999,9808.2421,4734.501,0.0
