Saved path: gym, hardware_store, bakery, pharmacy, gelateria, bank, music_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint : 51504
Saved path: toy_store, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store : 60555
Saved path: noodle_house, clothing_store, cafe, bookstore, hardware_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon : 58819
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, cafe, bookstore, gym, craft_shop, music_store, bank, pharmacy : 61432
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, party_store, bakery, bank, florist, pet_store : 66382
Saved path: party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, florist, music_store, bank, pharmacy, bakery, bike_shop : 59724
Saved path: gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, party_store, bakery : 58815
Saved path: bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, hardware_store, burger_joint, dentist, pizzeria, grocery_store, clothing_store, noodle_house, barber_shop : 68774
Saved path: bakery, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop, florist, music_store, gelateria, pharmacy : 46026
Saved path: jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop : 66362
Saved path: salon, noodle_house, clothing_store, bookstore, dentist, craft_shop, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, gym, hardware_store : 64944
Saved path: pharmacy, gelateria, pet_store, pizzeria, dentist, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, bakery, party_store : 58412
Saved path: cafe, bookstore, hardware_store, gym, music_store, bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist : 58800
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, pizzeria, dentist, bookstore, burger_joint, gym, florist, music_store, gelateria, pharmacy : 62774
Saved path: burger_joint, clothing_store, toy_store, salon, hardware_store, gym, party_store, jewelry_store, bakery, pharmacy, bank, craft_shop, pizzeria, cafe, bookstore : 68062
Saved path: pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, salon, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, florist : 65437
Saved path: florist, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop : 56088
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, gym, hardware_store, toy_store, barber_shop : 59543
Saved path: music_store, florist, hardware_store, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint, dentist, craft_shop, pet_store, bank : 68745
Saved path: grocery_store, cafe, bookstore, gym, pet_store, florist, music_store, bank, gelateria, jewelry_store, party_store, barber_shop, toy_store, noodle_house, clothing_store : 64655
Saved path: bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, tech_shop, dentist, pet_store, florist, pharmacy, bakery, party_store, jewelry_store : 60997
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, salon : 55185
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, pet_store : 60068
Saved path: hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gym, bakery, party_store : 51569
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, florist, gelateria, pharmacy, party_store : 52518
Saved path: party_store, bike_shop, barber_shop, hardware_store, gym, burger_joint, bookstore, cafe, clothing_store, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery : 61389
Saved path: gelateria, music_store, florist, craft_shop, hardware_store, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy : 55345
Saved path: bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bank, jewelry_store, party_store, hardware_store, burger_joint : 69128
Saved path: pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, florist, bank : 63748
Saved path: gym, craft_shop, pizzeria, dentist, bookstore, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store : 65091
