Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store : 67631
Saved path: hardware_store, toy_store, clothing_store, tech_shop, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon : 66667
Saved path: gym, florist, gelateria, music_store, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop : 61136
Saved path: florist, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria : 53990
Saved path: bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy : 61406
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, party_store, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pet_store, florist : 54324
Saved path: pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, clothing_store, salon, barber_shop, party_store, bakery, pharmacy, gelateria, music_store, florist : 58085
Saved path: dentist, bookstore, burger_joint, gym, craft_shop, bank, pharmacy, bike_shop, jewelry_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, pizzeria : 69278
Saved path: clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, gym, pet_store, florist, dentist, cafe, bookstore, tech_shop : 55588
Saved path: florist, music_store, bank, gelateria, barber_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop : 66539
Saved path: bank, florist, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, gym, pet_store : 72376
Saved path: gym, pet_store, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, clothing_store, cafe, tech_shop, pizzeria : 69205
