Saved path: burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist, hardware_store : 62832
Saved path: salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, craft_shop, pizzeria, cafe, bookstore : 67090
Saved path: pizzeria, grocery_store, noodle_house, toy_store, barber_shop, bakery, pharmacy, music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist : 53175
Saved path: noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, gym, florist, pet_store, dentist, cafe, burger_joint, tech_shop, grocery_store : 59635
Saved path: pizzeria, craft_shop, florist, bank, gelateria, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop : 61399
Saved path: florist, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, pizzeria, dentist, cafe, bookstore, hardware_store, gym : 58961
Saved path: barber_shop, bakery, bike_shop, jewelry_store, hardware_store, gym, pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria, tech_shop, cafe : 69902
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, toy_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist : 61979
Saved path: bank, music_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 68218
Saved path: jewelry_store, party_store, bakery, hardware_store, gym, pet_store, florist, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 58491
Saved path: pizzeria, florist, gelateria, bank, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, noodle_house, clothing_store, tech_shop, cafe, dentist : 62342
Saved path: pizzeria, dentist, cafe, grocery_store, toy_store, salon, barber_shop, bakery, hardware_store, gym, pet_store, bank, music_store, florist, craft_shop : 59115
Saved path: cafe, burger_joint, hardware_store, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, pizzeria, craft_shop, pet_store, bank, gelateria, florist, bookstore : 70270
Saved path: toy_store, salon, barber_shop, bakery, gelateria, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house : 50627
Saved path: noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, hardware_store, toy_store : 62996
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, pizzeria, cafe, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store : 66765
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, bakery, party_store, jewelry_store, barber_shop, salon, toy_store : 68373
Saved path: dentist, pizzeria, pet_store, bank, gelateria, bakery, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop : 62269
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria : 51284
Saved path: barber_shop, salon, noodle_house, grocery_store, burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop : 55023
Saved path: florist, pet_store, pizzeria, clothing_store, noodle_house, burger_joint, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 63149
Saved path: salon, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, craft_shop, pet_store, florist, bank, pharmacy, party_store, jewelry_store, barber_shop : 68651
Saved path: bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, gym, craft_shop, florist, music_store : 54262
Saved path: music_store, bike_shop, jewelry_store, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, bank : 66801
Saved path: barber_shop, salon, toy_store, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gym, hardware_store, bakery, jewelry_store : 71046
Saved path: barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, gelateria, party_store : 66223
Saved path: burger_joint, cafe, bookstore, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, pizzeria, gym, hardware_store : 69470
Saved path: pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria : 67210
Saved path: florist, pet_store, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bike_shop, bakery, pharmacy : 51812
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, gelateria : 61488
Saved path: grocery_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop : 67205
Saved path: grocery_store, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, gym, toy_store, salon, noodle_house : 63736
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, florist, gelateria, pharmacy : 57555
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, salon, jewelry_store, party_store, bakery, gym, florist, gelateria, bank, pet_store : 70313
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, clothing_store, bookstore, cafe, pizzeria : 67600
