Saved path: party_store, jewelry_store, bike_shop, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, barber_shop : 64952
Saved path: burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, pet_store, gym : 61161
Saved path: jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, dentist, craft_shop, music_store, pharmacy, bakery : 58264
Saved path: bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, dentist, florist, music_store, bank, pet_store, gym : 68597
Saved path: dentist, pizzeria, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, music_store, florist, pet_store, gym, hardware_store, burger_joint : 61781
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, bank, pet_store, gym, bookstore, dentist, pizzeria : 70786
Saved path: bookstore, cafe, dentist, craft_shop, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store : 56270
Saved path: dentist, florist, music_store, bank, gelateria, jewelry_store, bakery, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop : 63991
Saved path: craft_shop, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria : 57223
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, bakery, bike_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, cafe : 58740
Saved path: barber_shop, salon, noodle_house, bookstore, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store, gym, hardware_store, bakery, bike_shop : 62972
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, bookstore, gym, florist, music_store, bank : 68295
Saved path: party_store, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, dentist, craft_shop, pet_store, music_store, pharmacy : 59111
Saved path: craft_shop, florist, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, dentist, pizzeria : 65166
Saved path: gelateria, pharmacy, bakery, gym, burger_joint, bookstore, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank : 52370
Saved path: bike_shop, hardware_store, burger_joint, cafe, tech_shop, clothing_store, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, jewelry_store : 63712
Saved path: toy_store, salon, jewelry_store, party_store, bike_shop, bakery, music_store, gelateria, florist, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store : 57271
Saved path: bookstore, dentist, pizzeria, craft_shop, florist, music_store, barber_shop, bike_shop, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 52426
Saved path: cafe, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 61526
Saved path: tech_shop, grocery_store, salon, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, bookstore, burger_joint : 60798
Saved path: burger_joint, bookstore, grocery_store, pizzeria, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store : 71309
Saved path: tech_shop, grocery_store, clothing_store, salon, jewelry_store, party_store, bike_shop, gelateria, bank, music_store, craft_shop, pizzeria, dentist, cafe, burger_joint : 65802
Saved path: barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop : 60742
Saved path: dentist, pizzeria, craft_shop, florist, music_store, bank, pharmacy, bakery, bike_shop, barber_shop, noodle_house, hardware_store, burger_joint, bookstore, tech_shop : 61339
Saved path: burger_joint, gym, craft_shop, pet_store, florist, bank, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 64566
Saved path: tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, hardware_store, gym, pet_store, gelateria, music_store, florist, dentist, cafe : 62851
Saved path: burger_joint, hardware_store, bakery, party_store, jewelry_store, gelateria, craft_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore : 47675
Saved path: bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, grocery_store : 68612
Saved path: hardware_store, gym, burger_joint, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, bakery, bike_shop, jewelry_store, party_store : 54877
Saved path: pet_store, florist, music_store, bank, gelateria, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, cafe, tech_shop, pizzeria : 68371
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, jewelry_store, party_store, toy_store, noodle_house : 67013
Saved path: bakery, bike_shop, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, bank, gelateria, barber_shop : 65465
Saved path: jewelry_store, party_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, florist, bank, gelateria, pharmacy : 61862
Saved path: bank, gelateria, florist, pet_store, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, bakery, pharmacy, music_store : 55699
Saved path: bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, gym, toy_store, salon, jewelry_store : 65667
Saved path: clothing_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, florist, pet_store, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store : 61039
Saved path: gym, toy_store, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank, party_store : 64408
Saved path: dentist, pizzeria, craft_shop, music_store, bank, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 64961
Saved path: pet_store, florist, music_store, bike_shop, party_store, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop : 59789
Saved path: barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, gym, hardware_store, bookstore, cafe, dentist, grocery_store, toy_store, salon : 62870
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, gym : 62290
Saved path: gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, music_store, pet_store : 59999
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 64099
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, bakery, bike_shop, gelateria, bank : 60803
Saved path: gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, gym, hardware_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, bank : 69330
Saved path: tech_shop, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, music_store, bank, gelateria, gym, craft_shop, pizzeria : 59687
