Saved path: jewelry_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, florist, bank, pharmacy, party_store : 65831
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, grocery_store, burger_joint, gym, hardware_store, party_store, bike_shop, barber_shop : 66213
Saved path: tech_shop, grocery_store, clothing_store, cafe, bookstore, gym, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist : 52930
Saved path: gelateria, pet_store, craft_shop, gym, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank : 60801
Saved path: pizzeria, cafe, bookstore, hardware_store, gym, florist, music_store, gelateria, pharmacy, bakery, party_store, barber_shop, salon, clothing_store, tech_shop : 57944
Saved path: gym, bike_shop, party_store, bakery, music_store, gelateria, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, bookstore, cafe, burger_joint : 58371
Saved path: dentist, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, pet_store, craft_shop : 58996
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, bank, gelateria, florist, pet_store, gym, hardware_store, bookstore, cafe, dentist, grocery_store : 61185
Saved path: burger_joint, cafe, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy, hardware_store, gym : 53813
Saved path: burger_joint, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, florist, pet_store, gym : 58077
Saved path: pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store, pharmacy, party_store, bakery, barber_shop, noodle_house, tech_shop : 58546
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, dentist : 67600
Saved path: clothing_store, noodle_house, bookstore, cafe, burger_joint, hardware_store, salon, barber_shop, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, tech_shop : 57431
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, gym, pet_store, florist, gelateria, pharmacy, party_store, bakery, barber_shop : 53557
