Saved path: bank, music_store, jewelry_store, party_store, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist : 66258
Saved path: bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, pharmacy : 48266
Saved path: cafe, dentist, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop : 57666
Saved path: party_store, jewelry_store, bike_shop, music_store, gelateria, florist, pizzeria, dentist, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, bakery : 56121
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist, pizzeria, gym, pet_store, bank, music_store, pharmacy, bakery : 70710
Saved path: dentist, bookstore, burger_joint, hardware_store, gym, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, grocery_store, tech_shop : 63814
Saved path: cafe, dentist, grocery_store, clothing_store, noodle_house, barber_shop, party_store, bike_shop, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 56464
Saved path: craft_shop, florist, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym : 50086
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, bookstore, clothing_store, grocery_store, tech_shop, pizzeria : 57590
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, party_store, bakery, pharmacy, bank, craft_shop, pizzeria, tech_shop, bookstore : 64510
Saved path: clothing_store, noodle_house, salon, bakery, pharmacy, music_store, bank, florist, pet_store, gym, burger_joint, cafe, dentist, tech_shop, grocery_store : 56410
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, bakery, bank : 56037
Saved path: florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, cafe, tech_shop, grocery_store, dentist, craft_shop, pet_store : 59427
Saved path: bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, music_store, bike_shop, party_store, bakery, hardware_store, gym, toy_store, noodle_house, grocery_store : 54541
Saved path: gelateria, bank, florist, pet_store, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery : 68446
Saved path: cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, music_store, gelateria, pet_store, gym, bookstore : 49669
Saved path: bakery, party_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, florist, music_store, gelateria, pharmacy : 48424
Saved path: grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, pharmacy, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store : 60299
Saved path: bank, music_store, bakery, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, pet_store, florist, gelateria : 56565
Saved path: burger_joint, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, florist, gym : 61169
Saved path: pizzeria, tech_shop, salon, hardware_store, party_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, gym, burger_joint, bookstore, dentist : 66226
Saved path: craft_shop, florist, gelateria, pharmacy, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, gym : 45992
Saved path: salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, pet_store, bank, music_store, pharmacy, bakery, bike_shop, hardware_store : 60283
Saved path: salon, noodle_house, grocery_store, burger_joint, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store : 64809
Saved path: salon, noodle_house, clothing_store, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store, party_store, hardware_store : 68272
Saved path: pet_store, florist, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, grocery_store, tech_shop, pizzeria : 63304
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, dentist, cafe, bookstore, gym, toy_store : 59752
Saved path: bike_shop, jewelry_store, party_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, music_store : 57654
Saved path: gelateria, bank, music_store, florist, pet_store, dentist, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, party_store, jewelry_store, bike_shop : 63618
Saved path: hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, dentist, tech_shop, grocery_store, burger_joint, toy_store, salon, jewelry_store, bike_shop : 69273
Saved path: dentist, cafe, bookstore, gym, craft_shop, pet_store, gelateria, music_store, bakery, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store : 59287
Saved path: florist, music_store, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, pet_store : 63841
Saved path: dentist, pizzeria, craft_shop, gym, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, clothing_store, bookstore, burger_joint, cafe : 60382
Saved path: party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, dentist, bookstore, burger_joint, clothing_store, toy_store, hardware_store : 64353
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, gym, bookstore, dentist, grocery_store, clothing_store, toy_store, barber_shop : 55463
Saved path: tech_shop, grocery_store, noodle_house, toy_store, burger_joint, bookstore, gym, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria : 55436
Saved path: party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, dentist, cafe, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, bakery : 59419
