Saved path: dentist, cafe, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, gelateria, florist, craft_shop : 57483
Saved path: pizzeria, craft_shop, gym, pet_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore, cafe, tech_shop : 69664
Saved path: jewelry_store, party_store, pharmacy, music_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop : 54023
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, dentist, craft_shop, florist, gelateria, pharmacy, bakery : 54922
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gelateria, music_store, pharmacy, bakery, bike_shop : 52343
Saved path: salon, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, bank, florist, gym, hardware_store, bakery, bike_shop, jewelry_store : 68875
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, bakery, bike_shop : 57165
Saved path: bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, salon, barber_shop, bakery, party_store, pharmacy : 62851
Saved path: burger_joint, toy_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, pharmacy, bank, craft_shop, pizzeria, tech_shop, cafe, bookstore : 66654
Saved path: florist, music_store, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store : 55364
Saved path: grocery_store, tech_shop, cafe, burger_joint, bookstore, pet_store, florist, gelateria, bank, music_store, pharmacy, hardware_store, salon, noodle_house, clothing_store : 49783
Saved path: burger_joint, dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop : 61685
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, dentist, florist, gelateria : 58250
Saved path: pet_store, music_store, pharmacy, party_store, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym : 62125
Saved path: bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, bakery, salon, noodle_house, grocery_store : 59445
Saved path: bank, gelateria, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, florist : 51993
Saved path: bike_shop, barber_shop, toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist, bank, bakery, party_store, jewelry_store : 70261
Saved path: tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, florist, hardware_store, jewelry_store, barber_shop, salon, clothing_store : 70803
Saved path: barber_shop, bakery, party_store, jewelry_store, music_store, florist, pizzeria, dentist, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon : 58137
Saved path: gym, hardware_store, jewelry_store, party_store, bakery, pharmacy, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop : 49973
Saved path: dentist, craft_shop, pet_store, florist, bank, music_store, bike_shop, bakery, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 59223
Saved path: pizzeria, craft_shop, gelateria, pharmacy, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe : 56938
Saved path: grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, music_store, florist, pet_store, craft_shop, hardware_store, cafe : 59263
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pet_store, bank, pharmacy, jewelry_store, bike_shop : 66703
Saved path: burger_joint, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store : 59978
Saved path: jewelry_store, bakery, pharmacy, bank, gelateria, florist, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store : 56656
Saved path: dentist, tech_shop, grocery_store, toy_store, burger_joint, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 62029
Saved path: tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, gelateria, music_store, florist, pet_store, craft_shop, burger_joint, cafe : 59020
Saved path: clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, pet_store, craft_shop, gym, toy_store : 61422
Saved path: noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, dentist, florist, music_store, gelateria, pharmacy, party_store, barber_shop, salon : 55707
Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop : 54391
Saved path: bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, pharmacy, gelateria, bank, florist, dentist, cafe, burger_joint : 58893
